t,u,theta,phi
0,0,0,0
0.01,4.259442e-05,7.09907e-05,0
0.02,-4.561564e-05,-2.869894e-05,0
0.03,1.787548e-05,-3.666728e-05,0
0.04,-9.9601e-06,2.541473e-05,0
0.05,0.0001158717,0.0001680477,0
0.06,1.637345e-07,0.0001373764,0
0.07,0.0001123639,0.000141754,0
0.08,1.60481e-05,0.0001667687,0
0.09,0.0001748315,0.000262543,0
0.1,7.042621e-05,0.0003212484,0
0.11,0.0002158768,0.0003700888,0
0.12,0.0002127173,0.0005909605,0
0.13,0.0003717617,0.0007771447,0
0.14,0.000342832,0.0009319413,0
0.15,0.0005078487,0.001107154,0
0.16,0.0004417367,0.001213591,0
0.17,0.0006643946,0.001439022,0
0.18,0.0006288214,0.001675686,0
0.19,0.0008029125,0.001827661,0
0.2,0.0007934898,0.00205145,0
0.21,0.0009157801,0.002164966,0
0.22,0.0008518418,0.002224381,0
0.23,0.0009451637,0.002253549,0
0.24,0.0008910131,0.002309112,0
0.25,0.0009374494,0.002277734,0
0.26,0.0008715713,0.00225579,0
0.27,0.000901763,0.002203627,0
0.28,0.0007905083,0.00208591,0
0.29,0.00079208,0.001942344,0
0.3,0.0007057001,0.001848852,0
0.31,0.0007295341,0.001775773,0
0.32,0.0006281724,0.00167092,0
0.33,0.0006436566,0.001562742,0
0.34,0.0005441874,0.001458826,0
0.35,0.0006243667,0.001461315,0
0.36,0.0005534102,0.001475857,0
0.37,0.0006002688,0.001430846,0
0.38,0.0005228229,0.001394871,0
0.39,0.0006098756,0.001422874,0
0.4,0.0004980001,0.001372168,0
0.41,0.0005666285,0.001316992,0
0.42,0.0005358901,0.001398534,0
0.43,0.0005897421,0.001409876,0
0.44,0.0005605988,0.001447276,0
0.45,0.0005618686,0.001388354,0
0.46,0.0005054983,0.00131616,0
0.47,0.0005646657,0.001344887,0
0.48,0.0004336599,0.001215581,0
0.49,0.0005120857,0.001171049,0
0.5,0.0004245116,0.001170646,0
0.51,0.0004481835,0.001064277,0
0.52,0.0003019197,0.0008954132,0
0.53,0.0003479449,0.0007846366,0
0.54,0.0002260849,0.0006951708,0
0.55,0.0002655744,0.0005877085,0
0.56,0.0002135488,0.0006026359,0
0.57,0.0002439711,0.0005616546,0
0.58,0.0002625359,0.0006569601,0
0.59,0.0002787168,0.0006831011,0
0.6,0.0003202887,0.0007706421,0
0.61,0.000360011,0.0008769521,0
0.62,0.0004047387,0.0009822655,0
0.63,0.0003891249,0.0009956842,0
0.64,0.0003973442,0.0009788872,0
0.65,0.0003562607,0.0009297125,0
0.66,0.0003926698,0.0009383133,0
0.67,0.0003622046,0.0009453528,0
0.68,0.0003792446,0.000920631,0
0.69,0.0003289579,0.0008734604,0
0.7,0.0003512486,0.000842524,0
0.71,0.0003020992,0.0008080716,0
0.72,0.000346428,0.0008115213,0
0.73,0.0002564624,0.0007343102,0
0.74,0.0003113965,0.0007016614,0
0.75,0.0002441626,0.0006920447,0
0.76,0.0002780849,0.0006397309,0
0.77,0.0002107513,0.0006014833,0
0.78,0.0002263291,0.000527973,0
0.79,0.0001309371,0.0004194527,0
0.8,0.0002104366,0.0004291386,0
0.81,0.0001591117,0.0004728676,0
0.82,0.0002446348,0.0005152884,0
0.83,0.0001554809,0.0004950968,0
0.84,0.0003094982,0.0006099328,0
0.85,0.0002335372,0.000701748,0
0.86,0.0004040848,0.0008287873,0
0.87,0.0002633121,0.0008360657,0
0.88,0.0004582169,0.0009238597,0
0.89,0.0002633824,0.0008947122,0
0.9,0.0004206152,0.0008417587,0
0.91,0.000278446,0.0008845159,0
0.92,0.0004123918,0.0008565578,0
0.93,0.0002606976,0.0008362965,0
0.94,0.0004022634,0.0008261696,0
0.95,0.0002500241,0.000811756,0
0.96,0.0003233429,0.0006850264,0
0.97,0.0002163829,0.000671201,0
0.98,0.0002911648,0.0006221793,0
0.99,0.0001630521,0.0005496352,0
1,0.0002823446,0.0005591161,0
1.01,0.0001530257,0.0005392451,0
1.02,0.0002536124,0.0004979819,0
1.03,0.0001677267,0.0005362379,0
1.04,0.0002452531,0.0005095536,0
1.05,0.0001529313,0.0004937895,0
1.06,0.0002135389,0.0004461872,0
1.07,0.000134316,0.000431029,0
1.08,0.0002500041,0.000496857,0
1.09,0.0001344869,0.0004751991,0
1.1,0.0002575219,0.0004949482,0
1.11,0.0001159199,0.0004574203,0
1.12,0.0002115851,0.0003933683,0
1.13,9.693482e-05,0.0003830771,0
1.14,0.0002560521,0.0004606192,0
1.15,6.946848e-05,0.0003889946,0
1.16,0.0002486545,0.0004005401,0
1.17,9.070954e-05,0.0004320934,0
1.18,0.0002792456,0.0004725608,0
1.19,9.277971e-05,0.0004625219,0
1.2,0.0002495511,0.0004163773,0
