t,u,theta,phi
0,0,0,0
0.01,-6.576612e-06,-1.644153e-05,-7.081032e-05
0.02,3.326784e-05,8.316959e-05,0.004791737
0.03,2.809062e-05,7.022655e-05,0.004791737
0.04,-8.772448e-07,-2.193112e-06,-7.081032e-05
0.05,1.434682e-05,3.586705e-05,0.004791737
0.06,-3.130983e-06,-7.827459e-06,0.004791737
0.07,-2.019896e-05,-5.049739e-05,-7.081032e-05
0.08,-3.777168e-06,-9.44292e-06,0.004791737
0.09,2.417867e-05,6.044667e-05,0.004791737
0.1,3.760932e-05,9.40233e-05,0.004791737
0.11,5.653103e-05,0.0001413276,0.004791737
0.12,8.25955e-05,0.0002064887,0.004791737
0.13,8.807331e-05,0.0002201833,-7.081032e-05
0.14,7.828959e-05,0.000195724,0.004791737
0.15,8.447596e-05,0.0002111899,-7.081032e-05
0.16,8.750297e-05,0.0002187574,-7.081032e-05
0.17,8.469112e-05,0.0002117278,-7.081032e-05
0.18,9.379432e-05,0.0002344858,-7.081032e-05
0.19,7.599204e-05,0.0001899801,-7.081032e-05
0.2,4.784413e-05,0.0001196103,0.004791737
0.21,3.289217e-05,8.223042e-05,-7.081032e-05
0.22,4.887992e-05,0.0001221998,-7.081032e-05
0.23,3.203054e-05,8.007635e-05,0.004791737
0.24,6.848772e-06,1.712193e-05,0.004791737
0.25,6.746326e-06,1.686582e-05,-7.081032e-05
0.26,2.903126e-05,7.257815e-05,-7.081032e-05
0.27,1.097648e-05,2.74412e-05,-7.081032e-05
0.28,1.530045e-05,3.825113e-05,0.004791737
0.29,1.537862e-05,3.844655e-05,-7.081032e-05
0.3,-5.264102e-06,-1.316026e-05,0.004791737
0.31,8.277307e-06,2.069327e-05,-7.081032e-05
0.32,6.048619e-06,1.512155e-05,0.004791737
0.33,2.272416e-05,5.681039e-05,-7.081032e-05
0.34,3.026944e-05,7.56736e-05,-7.081032e-05
0.35,2.561128e-05,6.40282e-05,0.004791737
0.36,1.711799e-05,4.279497e-05,0.004791737
0.37,8.559578e-06,2.139894e-05,-7.081032e-05
0.38,-6.421586e-06,-1.605396e-05,-7.081032e-05
0.39,-9.374288e-06,-2.343572e-05,-7.081032e-05
0.4,7.34653e-06,1.836633e-05,-7.081032e-05
0.41,1.748431e-05,4.371077e-05,-7.081032e-05
0.42,3.747017e-06,9.367543e-06,0.004791737
0.43,-1.934753e-05,-4.836882e-05,-7.081032e-05
0.44,-2.07385e-05,-5.184625e-05,0.004791737
0.45,-4.374499e-05,-0.0001093625,-7.081032e-05
0.46,-2.149474e-05,-5.373684e-05,0.004791737
0.47,-2.94796e-05,-7.3699e-05,0.004791737
0.48,-2.539278e-05,-6.348196e-05,-7.081032e-05
0.49,-4.00025e-06,-1.000063e-05,-7.081032e-05
0.5,-2.570181e-05,-6.425453e-05,0.004791737
0.51,9.218566e-06,2.304641e-05,-7.081032e-05
0.52,7.643785e-07,1.910946e-06,-7.081032e-05
0.53,-5.505513e-06,-1.376378e-05,-7.081032e-05
0.54,3.491679e-06,8.729198e-06,-7.081032e-05
0.55,2.30927e-06,5.773175e-06,-7.081032e-05
0.56,1.520535e-05,3.801336e-05,-7.081032e-05
0.57,2.564679e-05,6.411698e-05,0.004791737
0.58,4.674248e-05,0.0001168562,-7.081032e-05
0.59,3.374826e-05,8.437065e-05,-7.081032e-05
0.6,1.492745e-05,3.731863e-05,-7.081032e-05
0.61,5.406802e-06,1.3517e-05,0.004791737
0.62,-3.339483e-05,-8.348707e-05,-7.081032e-05
0.63,-4.637405e-05,-0.0001159351,-7.081032e-05
0.64,-8.760445e-05,-0.0002190111,0.004791737
0.65,-9.285309e-05,-0.0002321327,-7.081032e-05
0.66,-4.740987e-05,-0.0001185247,-7.081032e-05
0.67,-4.559278e-05,-0.0001139819,-7.081032e-05
0.68,-6.510425e-05,-0.0001627606,-7.081032e-05
0.69,-0.0001074859,-0.0002687146,-7.081032e-05
0.7,-6.873899e-05,-0.0001718475,0.004791737
0.71,-3.835173e-05,-9.587932e-05,-7.081032e-05
0.72,-5.216033e-05,-0.0001304008,-7.081032e-05
0.73,-6.524531e-05,-0.0001631133,-7.081032e-05
0.74,-8.963258e-05,-0.0002240815,0.004791737
0.75,-0.0001226977,-0.0003067442,-7.081032e-05
0.76,-0.0001515887,-0.0003789717,0.004791737
0.77,-0.000161025,-0.0004025626,-7.081032e-05
0.78,-0.0001288746,-0.0003221865,-7.081032e-05
0.79,-0.0001251887,-0.0003129716,0.004791737
0.8,-0.0001186856,-0.0002967141,0.004791737
0.81,-0.0001430751,-0.0003576876,-7.081032e-05
0.82,-0.0001327685,-0.0003319212,-7.081032e-05
0.83,-0.0001285387,-0.0003213466,-7.081032e-05
0.84,-0.0001435116,-0.0003587789,-7.081032e-05
0.85,-0.0001611325,-0.0004028312,-7.081032e-05
0.86,-0.0001740674,-0.0004351685,-7.081032e-05
0.87,-0.0001914599,-0.0004786499,0.004791737
0.88,-0.0001925679,-0.0004814196,-7.081032e-05
0.89,-0.0001621495,-0.0004053738,-7.081032e-05
0.9,-0.0001495172,-0.000373793,0.004791737
0.91,-0.0001828132,-0.000457033,0.004791737
0.92,-0.0002051649,-0.0005129123,-7.081032e-05
0.93,-0.000203794,-0.0005094849,-7.081032e-05
0.94,-0.0001769934,-0.0004424835,0.004791737
0.95,-0.0001588592,-0.0003971479,0.004791737
0.96,-0.000194016,-0.0004850401,-7.081032e-05
0.97,-0.0001801077,-0.0004502693,0.004791737
0.98,-0.0001777068,-0.000444267,0.004791737
0.99,-0.0001460078,-0.0003650195,-7.081032e-05
1,-0.000172542,-0.0004313549,0.004791737
1.01,-0.000171545,-0.0004288624,-7.081032e-05
1.02,-0.0001565566,-0.0003913914,0.004791737
1.03,-0.0001645885,-0.0004114714,-7.081032e-05
1.04,-0.0001941062,-0.0004852655,-7.081032e-05
1.05,-0.0002010482,-0.0005026205,-7.081032e-05
1.06,-0.0001594785,-0.0003986963,-7.081032e-05
1.07,-0.0001342116,-0.0003355289,0.004791737
1.08,-0.0001057283,-0.0002643208,-7.081032e-05
1.09,-0.0001148651,-0.0002871628,0.004791737
1.1,-0.0001384405,-0.0003461013,-7.081032e-05
1.11,-0.0001721092,-0.0004302729,-7.081032e-05
1.12,-0.0001887284,-0.0004718209,-7.081032e-05
1.13,-0.0002145565,-0.0005363912,-7.081032e-05
1.14,-0.0001942411,-0.0004856027,-7.081032e-05
1.15,-0.0001725196,-0.000431299,-7.081032e-05
1.16,-0.0001730188,-0.000432547,0.004791737
1.17,-0.0001748156,-0.0004370391,-7.081032e-05
1.18,-0.0001843895,-0.0004609737,0.004791737
1.19,-0.0001876137,-0.0004690343,-7.081032e-05
1.2,-0.0001662059,-0.0004155147,0.004791737
1.21,-0.0001877858,-0.0004694644,-7.081032e-05
1.22,-0.0001598909,-0.0003997272,0.004791737
1.23,-0.0001456922,-0.0003642306,-7.081032e-05
1.24,-0.0001427999,-0.0003569996,-7.081032e-05
1.25,-0.0001545147,-0.0003862868,-7.081032e-05
1.26,-0.0001598172,-0.0003995431,-7.081032e-05
1.27,-0.000138213,-0.0003455326,-7.081032e-05
1.28,-9.616289e-05,-0.0002404072,-7.081032e-05
1.29,-5.759811e-05,-0.0001439953,-7.081032e-05
1.3,-4.882906e-05,-0.0001220727,-7.081032e-05
1.31,-9.260717e-05,-0.0002315179,-7.081032e-05
1.32,-0.0001174713,-0.0002936782,-7.081032e-05
1.33,-0.0001278783,-0.0003196957,-7.081032e-05
1.34,-0.0001274791,-0.0003186978,-7.081032e-05
1.35,-0.0001150379,-0.0002875948,-7.081032e-05
1.36,-0.0001128131,-0.0002820328,-7.081032e-05
1.37,-8.500439e-05,-0.000212511,0.004791737
1.38,-7.566821e-05,-0.0001891705,-7.081032e-05
1.39,-8.246655e-05,-0.0002061664,0.004791737
1.4,-7.603593e-05,-0.0001900898,-7.081032e-05
1.41,-7.735311e-05,-0.0001933828,-7.081032e-05
1.42,-5.249956e-05,-0.0001312489,0.004791737
1.43,-3.620078e-05,-9.050194e-05,-7.081032e-05
1.44,-3.546184e-05,-8.865459e-05,0.004791737
1.45,-1.307528e-05,-3.26882e-05,0.004791737
1.46,1.97621e-05,4.940524e-05,0.004791737
1.47,3.275022e-05,8.187554e-05,0.004791737
1.48,5.763401e-05,0.000144085,-7.081032e-05
1.49,6.206438e-05,0.000155161,-7.081032e-05
1.5,8.039406e-05,0.0002009852,-7.081032e-05
1.51,0.0001149605,0.0002874013,-7.081032e-05
1.52,0.0001136758,0.0002841895,-7.081032e-05
1.53,0.0001284024,0.0003210061,-7.081032e-05
1.54,0.0001163809,0.0002909523,0.004791737
1.55,0.000131462,0.000328655,-7.081032e-05
1.56,9.928135e-05,0.0002482034,-7.081032e-05
1.57,0.0001156035,0.0002890087,-7.081032e-05
1.58,0.0001020464,0.0002551159,-7.081032e-05
1.59,5.872832e-05,0.0001468208,-7.081032e-05
1.6,8.492606e-05,0.0002123151,-7.081032e-05
1.61,4.124436e-05,0.0001031109,-7.081032e-05
1.62,4.912585e-05,0.0001228146,0.004791737
1.63,3.82914e-05,9.572849e-05,-7.081032e-05
1.64,5.216056e-05,0.0001304014,-7.081032e-05
1.65,6.632091e-05,0.0001658023,-7.081032e-05
1.66,5.822588e-05,0.0001455647,0.004791737
1.67,6.698907e-05,0.0001674727,-7.081032e-05
1.68,5.163837e-05,0.0001290959,0.004791737
1.69,6.351843e-05,0.0001587961,-7.081032e-05
1.7,3.744939e-05,9.362349e-05,-7.081032e-05
1.71,-5.432672e-06,-1.358168e-05,-7.081032e-05
1.72,-4.068271e-05,-0.0001017068,-7.081032e-05
1.73,-1.15893e-05,-2.897324e-05,-7.081032e-05
1.74,-2.964152e-05,-7.410379e-05,0.004791737
1.75,-1.638931e-05,-4.097328e-05,-7.081032e-05
1.76,-2.644693e-05,-6.611732e-05,0.004791737
1.77,-2.583454e-05,-6.458636e-05,0.004791737
