t,u,theta,phi
0,0,0,0
0.01,-4.256748e-05,-5.320935e-05,-4.529953e-06
0.02,-8.886798e-05,-0.000111085,-4.529953e-06
0.03,-4.385011e-05,-5.481264e-05,-4.529953e-06
0.04,-8.448264e-06,-1.056033e-05,-4.529953e-06
0.05,7.544305e-06,9.430381e-06,-4.529953e-06
0.06,5.945539e-06,7.431923e-06,-4.529953e-06
0.07,8.631625e-05,0.0001078953,-4.529953e-06
0.08,9.902824e-05,0.0001237853,-4.529953e-06
0.09,-8.737942e-06,-1.092243e-05,-4.529953e-06
0.1,-5.15065e-05,-6.438312e-05,-4.529953e-06
0.11,-3.717836e-05,-4.647295e-05,-4.529953e-06
0.12,-1.348337e-06,-1.685421e-06,-4.529953e-06
0.13,-9.231488e-05,-0.0001153936,-4.529953e-06
0.14,-4.361703e-05,-5.452129e-05,-4.529953e-06
0.15,-1.091028e-06,-1.363785e-06,-4.529953e-06
0.16,-0.0001038964,-0.0001298705,-4.529953e-06
0.17,-0.0001145527,-0.0001431909,-4.529953e-06
0.18,-4.124794e-05,-5.155992e-05,-4.529953e-06
0.19,-7.923729e-05,-9.904661e-05,0.004857779
0.2,-0.000121641,-0.0001520512,-4.529953e-06
0.21,-0.0001273323,-0.0001591654,-4.529953e-06
0.22,-0.000162486,-0.0002031075,-4.529953e-06
0.23,-0.0001288244,-0.0001610305,-4.529953e-06
0.24,-0.0001032793,-0.0001290991,-4.529953e-06
0.25,2.941293e-05,3.676616e-05,-4.529953e-06
0.26,-2.05104e-06,-2.5638e-06,0.004857779
0.27,3.395391e-05,4.244239e-05,-4.529953e-06
0.28,3.07541e-05,3.844262e-05,-4.529953e-06
0.29,-5.701137e-05,-7.126421e-05,-4.529953e-06
0.3,-9.039231e-05,-0.0001129904,-4.529953e-06
0.31,-0.0001136475,-0.0001420593,-4.529953e-06
0.32,-7.378771e-05,-9.223464e-05,-4.529953e-06
0.33,-9.572882e-05,-0.000119661,-4.529953e-06
0.34,-0.0001480827,-0.0001851033,-4.529953e-06
0.35,-9.471211e-05,-0.0001183901,-4.529953e-06
0.36,-8.314634e-05,-0.0001039329,-4.529953e-06
0.37,-3.854079e-05,-4.817599e-05,-4.529953e-06
0.38,5.385021e-05,6.731277e-05,-4.529953e-06
0.39,5.441783e-05,6.802229e-05,-4.529953e-06
0.4,3.472902e-06,4.341127e-06,-4.529953e-06
0.41,-5.413517e-06,-6.766896e-06,-4.529953e-06
0.42,5.663804e-05,7.079756e-05,-4.529953e-06
0.43,5.95e-05,7.4375e-05,-4.529953e-06
0.44,-9.528443e-06,-1.191055e-05,-4.529953e-06
0.45,6.530088e-05,8.16261e-05,-4.529953e-06
0.46,8.359722e-05,0.0001044965,-4.529953e-06
0.47,6.038681e-05,7.548351e-05,-4.529953e-06
0.48,0.0001307385,0.0001634231,-4.529953e-06
