t,u,theta,theta_rad,phi
0,0,0,0,0
0.01,0,0.004455633,0.004455633,0
0.02,0,0.00707955,0.00707955,0
0.03,0,0.0150437,0.0150437,0
0.04,0,0.0211957,0.0211957,0
0.05,0,0.02772118,0.02772118,0
0.06,0,0.03559472,0.03559472,0
0.07,0,0.04014771,0.04014771,0
0.08,0,0.04712544,0.04712544,0
0.09,0,0.04920622,0.04920622,0
0.1,0,0.05551848,0.05551848,0
0.11,0,0.05617711,0.05617711,0
0.12,0,0.06037248,0.06037248,0
0.13,0,0.06971444,0.06971444,0
0.14,0,0.07734059,0.07734059,0
0.15,0,0.08143751,0.08143751,0
0.16,0,0.08441246,0.08441246,0
0.17,0,0.08602337,0.08602337,0
0.18,0,0.08646605,0.08646605,0
0.19,0,0.09045953,0.09045953,0
0.2,0,0.09464472,0.09464472,0
0.21,0,0.09885295,0.09885295,0
0.22,0,0.1002319,0.1002319,0
0.23,0,0.1034023,0.1034023,0
0.24,0,0.1044763,0.1044763,0
0.25,0,0.1077789,0.1077789,0
0.26,0,0.1113882,0.1113882,0
0.27,0,0.1132058,0.1132058,0
0.28,0,0.1166732,0.1166732,0
0.29,0,0.1163721,0.1163721,0
0.3,0,0.1201869,0.1201869,0
0.31,0,0.1224986,0.1224986,0
0.32,0,0.1287088,0.1287088,0
0.33,0,0.1303193,0.1303193,0
0.34,0,0.1298892,0.1298892,0
0.35,0,0.1320022,0.1320022,0
0.36,0,0.1333487,0.1333487,0
0.37,0,0.1383688,0.1383688,0
0.38,0,0.1433706,0.1433706,0
0.39,0,0.1439501,0.1439501,0
0.4,0,0.1471959,0.1471959,0
0.41,0,0.1467259,0.1467259,0
0.42,0,0.148368,0.148368,0
0.43,0,0.1498184,0.1498184,0
0.44,0,0.1501872,0.1501872,0
0.45,0,0.1554228,0.1554228,0
0.46,0,0.1569372,0.1569372,0
0.47,0,0.1623919,0.1623919,0
0.48,0,0.1615691,0.1615691,0
0.49,0,0.1643293,0.1643293,0
0.5,0,0.1641589,0.1641589,0
0.51,0,0.1635457,0.1635457,0
0.52,0,0.1611106,0.1611106,0
0.53,0,0.1628807,0.1628807,0
0.54,0,0.1628736,0.1628736,0
0.55,0,0.1654383,0.1654383,0
0.56,0,0.1673561,0.1673561,0
0.57,0,0.1686416,0.1686416,0
0.58,0,0.1683338,0.1683338,0
0.59,0,0.1700352,0.1700352,0
0.6,0,0.173261,0.173261,0
0.61,0,0.1723906,0.1723906,0
0.62,0,0.1732661,0.1732661,0
0.63,0,0.1755057,0.1755057,0
0.64,0,0.1758247,0.1758247,0
0.65,0,0.1779704,0.1779704,0
0.66,0,0.1777887,0.1777887,0
0.67,0,0.1814771,0.1814771,0
0.68,0,0.1793745,0.1793745,0
0.69,0,0.177889,0.177889,0
0.7,0,0.1822681,0.1822681,0
0.71,0,0.1839622,0.1839622,0
0.72,0,0.1831922,0.1831922,0
0.73,0,0.1850226,0.1850226,0
0.74,0,0.1847997,0.1847997,0
0.75,0,0.1861349,0.1861349,0
0.76,0,0.1919631,0.1919631,0
0.77,0,0.1935099,0.1935099,0
0.78,0,0.1945679,0.1945679,0
0.79,0,0.1977283,0.1977283,0
0.8,0,0.2016502,0.2016502,0
0.81,0,0.2026488,0.2026488,0
0.82,0,0.2024501,0.2024501,0
0.83,0,0.2071272,0.2071272,0
0.84,0,0.2070734,0.2070734,0
0.85,0,0.2009111,0.2009111,0
0.86,0,0.1986423,0.1986423,0
0.87,0,0.1978624,0.1978624,0
0.88,0,0.1949527,0.1949527,0
0.89,0,0.193853,0.193853,0
0.9,0,0.1958998,0.1958998,0
0.91,0,0.19546,0.19546,0
0.92,0,0.1910353,0.1910353,0
0.93,0,0.1935989,0.1935989,0
0.94,0,0.1971064,0.1971064,0
0.95,0,0.1979619,0.1979619,0
0.96,0,0.1970714,0.1970714,0
0.97,0,0.1980403,0.1980403,0
0.98,0,0.1961468,0.1961468,0
0.99,0,0.1942847,0.1942847,0
1,0,0.1889417,0.1889417,0
1.01,35,0.1880018,0.1880018,0
1.02,35,0.1887982,0.1887982,12
1.03,35,0.3209947,0.3209947,11
1.04,35,0.7055959,0.7055959,11
1.05,35,1.093271,1.093271,10
1.06,35,1.189983,1.189983,11
1.07,35,0.7818835,0.7818835,12
1.08,35,0.1104806,0.1104806,12
1.09,35,-0.6163003,-0.6163003,12
1.1,35,-1.179986,-1.179986,12
1.11,35,-1.820724,-1.820724,14
1.12,35,-2.432443,-2.432443,14
1.13,35,-3.385865,-3.385865,16
1.14,35,-4.325986,-4.325986,17
1.15,35,-5.402856,-5.402856,16
1.16,35,-6.467824,-6.467824,18
1.17,35,-7.498301,-7.498301,20
1.18,35,-8.250678,-8.250678,21
1.19,35,-8.869318,-8.869318,23
1.2,35,-9.942706,-9.942706,21
1.21,35,-11.14039,-11.14039,23
1.22,35,-12.44364,-12.44364,25
1.23,35,-14.09582,-14.09582,27
1.24,35,-15.45069,-15.45069,29
1.25,35,-16.01718,-16.01718,31
1.26,35,-16.64571,-16.64571,33
1.27,35,-17.37288,-17.37288,34
1.28,35,-17.74301,-17.74301,36
1.29,35,-18.19432,-18.19432,37
1.3,35,-19.60676,-19.60676,37
1.31,35,-20.03773,-20.03773,37
1.32,35,-18.47948,-18.47948,36
1.33,35,-16.20539,-16.20539,36
1.34,35,-13.73141,-13.73141,35
1.35,35,-11.27722,-11.27722,35
1.36,35,-8.523851,-8.523851,35
1.37,35,-5.963103,-5.963103,35
1.38,35,-3.889062,-3.889062,35
1.39,35,-2.225669,-2.225669,35
1.4,35,-0.6025184,-0.6025184,35
1.41,35,0.9980846,0.9980846,36
1.42,35,2.627899,2.627899,36
1.43,35,4.25866,4.25866,36
1.44,35,5.937134,5.937134,36
1.45,35,7.452115,7.452115,36
1.46,35,8.814148,8.814148,36
1.47,35,10.22525,10.22525,36
1.48,35,11.47498,11.47498,36
1.49,35,12.79924,12.79924,36
1.5,35,13.85961,13.85961,36
1.51,35,14.56974,14.56974,36
1.52,35,15.17319,15.17319,36
1.53,35,16.04175,16.04175,36
1.54,35,16.90765,16.90765,36
1.55,35,17.72684,17.72684,36
1.56,35,18.36645,18.36645,36
1.57,35,18.59309,18.59309,36
1.58,35,18.62502,18.62502,36
1.59,35,18.67097,18.67097,36
1.6,35,18.8231,18.8231,36
1.61,35,18.76748,18.76748,36
1.62,35,18.35539,18.35539,36
1.63,35,17.74103,17.74103,36
1.64,35,17.08463,17.08463,36
1.65,35,16.50888,16.50888,36
1.66,35,15.88363,15.88363,36
1.67,35,15.00194,15.00194,36
1.68,35,13.91253,13.91253,36
1.69,35,12.75881,12.75881,36
1.7,35,11.59524,11.59524,36
1.71,35,10.39628,10.39628,36
1.72,35,9.110682,9.110682,36
1.73,35,7.742939,7.742939,36
1.74,35,6.287201,6.287201,36
1.75,35,4.724078,4.724078,36
1.76,35,3.243357,3.243357,36
1.77,35,1.81642,1.81642,36
1.78,35,0.320125,0.320125,36
1.79,35,-1.218199,-1.218199,36
1.8,35,-2.777995,-2.777995,36
1.81,35,-4.301928,-4.301928,36
1.82,35,-5.769546,-5.769546,36
1.83,35,-7.179132,-7.179132,36
1.84,35,-8.549464,-8.549464,36
1.85,35,-9.890159,-9.890159,36
1.86,35,-11.19058,-11.19058,36
1.87,35,-12.4147,-12.4147,36
1.88,35,-13.54668,-13.54668,36
1.89,35,-14.60676,-14.60676,36
1.9,35,-15.55044,-15.55044,36
1.91,35,-16.37344,-16.37344,36
1.92,35,-17.07559,-17.07559,36
1.93,35,-17.61801,-17.61801,35
1.94,35,-18.03339,-18.03339,35
1.95,35,-18.31016,-18.31016,35
1.96,35,-18.52751,-18.52751,35
1.97,35,-18.61293,-18.61293,35
1.98,35,-18.6033,-18.6033,35
1.99,35,-18.55179,-18.55179,35
2,35,-18.50173,-18.50173,35
2.01,35,-18.38394,-18.38394,35
2.02,35,-18.07688,-18.07688,35
2.03,35,-17.6238,-17.6238,35
2.04,35,-17.09257,-17.09257,35
2.05,35,-16.50546,-16.50546,35
2.06,35,-15.81279,-15.81279,35
2.07,35,-15.00458,-15.00458,35
2.08,35,-14.1005,-14.1005,35
2.09,35,-13.10758,-13.10758,35
2.1,35,-12.04491,-12.04491,35
2.11,35,-10.92854,-10.92854,35
2.12,35,-9.756242,-9.756242,35
2.13,35,-8.518085,-8.518085,35
2.14,35,-7.20488,-7.20488,35
2.15,35,-5.847302,-5.847302,35
2.16,35,-4.476439,-4.476439,35
2.17,35,-3.105108,-3.105108,35
2.18,35,-1.72614,-1.72614,35
2.19,35,-0.3204782,-0.3204782,35
2.2,35,1.093724,1.093724,35
2.21,35,2.503575,2.503575,35
2.22,35,3.893141,3.893141,35
2.23,35,5.232489,5.232489,35
2.24,35,6.527581,6.527581,35
2.25,35,7.780507,7.780507,35
2.26,35,8.994277,8.994277,35
2.27,35,10.13184,10.13184,36
2.28,35,11.17755,11.17755,36
2.29,35,12.13084,12.13084,36
2.3,35,12.97662,12.97662,36
2.31,35,13.69019,13.69019,36
2.32,35,14.31965,14.31965,36
2.33,35,14.8622,14.8622,36
2.34,35,15.26577,15.26577,36
2.35,35,15.55204,15.55204,36
2.36,35,15.86985,15.86985,36
2.37,35,16.25523,16.25523,36
2.38,35,16.49931,16.49931,36
2.39,35,16.59357,16.59357,36
2.4,35,16.64067,16.64067,36
2.41,35,16.55711,16.55711,36
2.42,35,16.30994,16.30994,36
2.43,35,15.99621,15.99621,36
2.44,35,15.65001,15.65001,36
2.45,35,15.19774,15.19774,36
2.46,35,14.61698,14.61698,36
2.47,35,13.94412,13.94412,36
2.48,35,13.17757,13.17757,36
2.49,35,12.33155,12.33155,36
2.5,35,11.45538,11.45538,36
2.51,35,10.5174,10.5174,36
2.52,35,9.504584,9.504584,36
2.53,35,8.400743,8.400743,36
