t,u,theta,phi
0,0,0,0
0.01,0,3.081659e-05,0.0002453327
0.02,0,0.0001294853,0.0002453327
0.03,0,0.0001061458,0.0002453327
0.04,0,0.0001263254,0.0002453327
0.05,0,0.0001381667,0.0002453327
0.06,0,5.558373e-05,0.0002453327
0.07,0,6.769993e-05,0.0002453327
0.08,0,0.0001509024,0.0002453327
0.09,0,0.0001967553,0.0002453327
0.1,0,0.0002049973,0.0002453327
0.11,0,0.0002526294,0.0002453327
0.12,0,0.0002488279,0.0002453327
0.13,0,0.0002122306,0.0002453327
0.14,0,8.50868e-05,0.0002453327
0.15,0,1.079981e-05,0.0002453327
0.16,0,1.826282e-05,0.0002453327
0.17,0,-8.389664e-05,0.0002453327
0.18,0,-3.77753e-05,0.0002453327
0.19,0,-2.621412e-05,0.0002453327
0.2,0,-0.0001180339,0.0002453327
0.21,0,-0.0001200761,0.0002453327
0.22,0,-5.294427e-05,0.0002453327
0.23,0,-4.832423e-05,0.0002453327
0.24,0,-4.654574e-06,0.0002453327
0.25,0,2.15014e-05,0.0002453327
0.26,0,2.394569e-05,-0.004616976
0.27,0,-5.041427e-05,0.0002453327
0.28,0,-0.0001383768,0.0002453327
0.29,0,-0.0001289627,0.0002453327
0.3,0,-0.0001488818,0.0002453327
0.31,0,-0.0001820824,0.0002453327
0.32,0,-0.0001479977,0.0002453327
0.33,0,-0.0001180132,0.0002453327
0.34,0,-9.32031e-05,0.0002453327
0.35,0,1.352762e-05,0.0002453327
0.36,0,-1.056235e-05,0.0002453327
0.37,0,-7.475311e-05,0.0002453327
0.38,0,-0.0001304993,0.0002453327
0.39,0,-0.0002167779,0.0002453327
0.4,0,-0.0002938558,0.0002453327
0.41,0,-0.0001519136,0.0002453327
0.42,0,-0.0001447879,0.0002453327
0.43,0,-0.0002755673,0.0002453327
0.44,0,-0.0001867628,0.0002453327
0.45,0,-8.268672e-05,0.0002453327
0.46,0,-0.0001542422,0.0002453327
0.47,0,3.815506e-05,0.0002453327
0.48,0,2.75197e-05,0.0002453327
0.49,0,-6.105892e-05,0.0002453327
0.5,0,-6.787333e-06,0.0002453327
0.51,0,-5.850305e-05,0.0002453327
0.52,0,-0.0002040424,0.0002453327
0.53,0,-0.000174176,0.0002453327
0.54,0,-0.0001555395,0.0002453327
0.55,0,-0.000228079,0.0002453327
0.56,0,-0.0002022801,0.0002453327
0.57,0,-0.0001553055,0.0002453327
0.58,0,-0.0002188334,0.0002453327
0.59,0,-0.0001888707,0.0002453327
0.6,0,-0.0002896547,0.0002453327
0.61,0,-0.0003419223,0.0002453327
0.62,0,-0.0001909318,0.0002453327
0.63,0,-7.994731e-05,0.0002453327
0.64,0,-0.0001406613,0.0002453327
0.65,0,-0.0001075005,0.0002453327
0.66,0,-7.785604e-05,0.0002453327
0.67,0,-0.0001755187,0.0002453327
0.68,0,-0.0002230399,0.0002453327
0.69,0,-0.0001169039,0.0002453327
0.7,0,-0.0001726586,0.0002453327
0.71,0,-0.0002671109,0.0002453327
0.72,0,-0.0003193449,0.0002453327
