t,u,theta,phi
0,0,0,0
0.01,1.174077e-05,1.956794e-05,0
0.02,3.287896e-06,1.852512e-05,0
0.03,1.669019e-05,2.712178e-05,0
0.04,-8.163242e-06,5.170995e-06,0
0.05,-3.829844e-05,-7.91598e-05,0
0.06,-4.170208e-05,-0.0001069476,0
0.07,-2.612743e-05,-7.739998e-05,0
0.08,-2.731506e-05,-6.327081e-05,0
0.09,-4.332055e-05,-9.663574e-05,0
0.1,-1.897916e-05,-7.162095e-05,0
0.11,-2.9758e-05,-5.735497e-05,0
0.12,-3.626976e-05,-9.092796e-05,0
0.13,-2.639778e-05,-7.413659e-05,0
0.14,-4.077089e-05,-8.72356e-05,0
0.15,-4.987165e-05,-0.0001219924,0
0.16,-6.82902e-05,-0.0001562723,0
0.17,-5.28184e-05,-0.0001497569,0
0.18,-8.939124e-05,-0.0001870971,0
0.19,-3.066632e-05,-0.0001377302,0
0.2,-5.946313e-05,-0.0001043057,0
0.21,-5.505732e-05,-0.0001560988,0
0.22,-6.418673e-05,-0.0001467071,0
0.23,-3.279218e-05,-0.0001127291,0
0.24,-5.563741e-05,-0.0001098063,0
0.25,-2.295344e-05,-9.438265e-05,0
0.26,-7.801934e-05,-0.0001368271,0
0.27,-8.550072e-06,-9.867333e-05,0
0.28,-8.439464e-05,-0.0001220167,0
0.29,-4.688773e-05,-0.0001781317,0
0.3,-8.857867e-05,-0.0001664001,0
0.31,-5.842971e-05,-0.0001895473,0
0.32,-9.006915e-05,-0.0001843157,0
0.33,-2.59035e-05,-0.0001318492,0
0.34,-6.215537e-05,-0.0001028151,0
0.35,-1.942584e-05,-0.000101697,0
0.36,-0.0001107623,-0.0001830812,0
0.37,-2.223534e-05,-0.0001606356,0
0.38,-9.674187e-05,-0.0001447501,0
0.39,-4.077661e-05,-0.0001809474,0
0.4,-7.759608e-05,-0.000136972,0
0.41,-4.820975e-05,-0.000164019,0
0.42,-8.208489e-05,-0.0001624847,0
0.43,-4.080212e-05,-0.0001506501,0
0.44,-8.899844e-06,-3.26199e-05,0
0.45,3.797284e-05,5.932829e-05,0
0.46,-6.569443e-06,3.25629e-05,0
0.47,2.649953e-05,2.236252e-05,0
0.48,-2.248026e-05,-7.553754e-07,0
0.49,7.158909e-06,-2.528378e-05,0
0.5,-2.410287e-05,-1.9812e-05,0
0.51,2.132588e-06,-3.001313e-05,0
0.52,-2.532873e-05,-2.865586e-05,0
0.53,1.561641e-05,-6.635244e-06,0
0.54,5.549261e-05,0.0001207268,0
0.55,6.068421e-07,5.325683e-05,0
0.56,1.833594e-05,1.381903e-05,0
0.57,-1.798973e-06,2.295527e-05,0
0.58,3.888486e-05,5.415806e-05,0
0.59,4.521216e-05,0.000122109,0
0.6,2.045872e-05,6.874846e-05,0
0.61,2.751881e-05,5.704639e-05,0
0.62,4.354193e-05,9.941909e-05,0
0.63,1.862337e-05,7.046913e-05,0
0.64,1.633787e-07,7.821542e-06,0
0.65,-5.666744e-05,-9.67806e-05,0
0.66,-3.577626e-05,-0.0001218126,0
0.67,-9.245638e-05,-0.0001731169,0
0.68,-1.566477e-06,-9.899915e-05,0
0.69,-5.461137e-05,-6.063002e-05,0
0.7,3.692762e-05,-9.262902e-06,0
0.71,-5.898155e-05,-3.366893e-05,0
0.72,6.332467e-05,1.84615e-05,0
