t,u,theta,phi
0,0,0,0
0.01,5.580212e-05,9.300353e-05,-0.003403425
0.02,9.010484e-05,0.0001501747,-0.003403425
0.03,8.157e-05,0.00013595,0.001458883
0.04,0.0001446272,0.0002410454,0.001458883
0.05,0.0001806255,0.0003010425,0.001458883
0.06,0.0001618119,0.0002696865,0.001458883
0.07,0.0001779253,0.0002965422,-0.003403425
0.08,0.0002005963,0.0003343272,0.001458883
0.09,0.0001527366,0.000254561,-0.003403425
0.1,0.0001537003,0.0002561671,0.001458883
0.11,0.0001767314,0.0002945523,0.001458883
0.12,0.0001410763,0.0002351271,0.00632143
0.13,0.0001164214,0.0001940357,-0.003403425
0.14,6.338781e-05,0.0001056463,-0.003403425
0.15,7.278604e-05,0.0001213101,0.001458883
0.16,7.89022e-05,0.0001315037,0.001458883
0.17,6.87262e-05,0.0001145437,0.00632143
0.18,1.461993e-05,2.436656e-05,0.001458883
0.19,7.921579e-06,1.320263e-05,-0.003403425
0.2,1.4908e-05,2.484667e-05,-0.008265972
0.21,-2.049107e-05,-3.415178e-05,0.00632143
0.22,2.631559e-05,4.385931e-05,0.001458883
0.23,4.534747e-05,7.557911e-05,0.001458883
0.24,-2.579684e-05,-4.299474e-05,-0.003403425
0.25,4.507358e-06,7.512263e-06,0.00632143
0.26,5.729272e-05,9.548787e-05,0.001458883
0.27,3.944941e-05,6.574902e-05,0.001458883
0.28,2.647369e-05,4.412282e-05,0.001458883
0.29,4.352533e-05,7.254221e-05,0.001458883
0.3,4.39246e-05,7.320767e-05,0.001458883
0.31,5.440963e-05,9.06827e-05,0.001458883
0.32,5.271025e-05,8.785041e-05,0.001458883
0.33,-1.537328e-05,-2.562212e-05,0.001458883
0.34,-1.457089e-05,-2.428481e-05,0.00632143
0.35,-1.903098e-05,-3.17183e-05,-0.003403425
0.36,-0.0001033653,-0.0001722755,0.001458883
0.37,-0.0001525805,-0.0002543007,-0.003403425
0.38,-0.0001883501,-0.0003139167,0.001458883
0.39,-0.0001963004,-0.0003271674,-0.003403425
0.4,-0.0001517582,-0.0002529303,0.001458883
0.41,-0.0001326198,-0.0002210329,0.001458883
0.42,-0.0001422091,-0.0002370152,0.001458883
0.43,-0.0001928348,-0.0003213913,0.001458883
0.44,-0.0001748938,-0.0002914897,0.001458883
0.45,-0.0001027991,-0.0001713319,-0.008265972
0.46,-6.743016e-05,-0.0001123836,0.001458883
0.47,-9.686723e-05,-0.0001614454,0.001458883
0.48,-2.731737e-05,-4.552896e-05,0.001458883
0.49,5.65121e-06,9.418683e-06,0.001458883
0.5,-1.010968e-05,-1.684947e-05,0.001458883
0.51,2.898623e-05,4.831038e-05,0.001458883
0.52,8.497205e-05,0.0001416201,0.001458883
0.53,-2.287003e-05,-3.811671e-05,-0.003403425
0.54,-0.0004118329,-0.0006863882,0.001458883
0.55,-0.0001961263,-0.0003268772,0.001458883
0.56,-0.0002864216,-0.0004773694,0.001458883
0.57,-0.0005304301,-0.00088405,0.001458883
0.58,-0.0003353758,-0.0005589597,0.001458883
0.59,-0.0002822671,-0.0004704451,0.001458883
0.6,-0.0004040562,-0.0006734269,0.00632143
0.61,-0.0001801749,-0.0003002915,0.001458883
0.62,-2.581439e-05,-4.302399e-05,0.001458883
0.63,-0.000150629,-0.0002510484,-0.008265972
0.64,-6.896344e-05,-0.0001149391,0.00632143
0.65,-2.214572e-05,-3.690953e-05,-0.003403425
0.66,-4.203981e-05,-7.006634e-05,0.00632143
0.67,7.246181e-05,0.0001207697,0.00632143
0.68,0.0001238801,0.0002064668,0.001458883
0.69,0.0001428703,0.0002381171,-0.003403425
0.7,0.000252836,0.0004213933,0.001458883
0.71,0.0002762041,0.0004603402,0.001458883
0.72,0.0002607201,0.0004345335,0.001458883
0.73,0.0003643417,0.0006072362,-0.003403425
0.74,0.0003762096,0.0006270161,0.001458883
0.75,0.000375716,0.0006261933,0.001458883
0.76,0.0004194438,0.000699073,0.001458883
0.77,0.0003529396,0.0005882327,0.001458883
0.78,0.0002617852,0.0004363087,0.0111835
0.79,0.0002879689,0.0004799481,0.001458883
0.8,0.0001986364,0.0003310606,0.00632143
0.81,9.180609e-05,0.0001530101,0.001458883
0.82,9.005646e-05,0.0001500941,0.001458883
0.83,0.0001130282,0.0001883803,-0.003403425
0.84,0.0001089107,0.0001815179,0.001458883
0.85,0.0001228638,0.0002047729,0.00632143
0.86,0.0001936133,0.0003226888,-0.003403425
0.87,0.000206746,0.0003445766,0.001458883
0.88,0.0001474021,0.0002456702,-0.008265972
0.89,0.0001141414,0.0001902357,0.001458883
0.9,5.816206e-05,9.693677e-05,0.001458883
0.91,0.000103611,0.000172685,0.001458883
0.92,-7.597246e-05,-0.0001266208,0.001458883
0.93,4.848118e-05,8.080196e-05,0.001458883
0.94,9.053628e-05,0.0001508938,0.001458883
0.95,9.787433e-05,0.0001631239,-0.003403425
0.96,0.0001699006,0.0002831676,0.00632143
0.97,0.0001831532,0.0003052552,0.00632143
0.98,0.0002421205,0.0004035341,0.001458883
0.99,0.0002182036,0.0003636726,0.001458883
1,0.0002456465,0.0004094109,0.00632143
1.01,0.0003112748,0.0005187913,0.001458883
1.02,0.000249149,0.0004152483,0.001458883
1.03,0.0001905656,0.0003176093,0.00632143
1.04,0.0002592494,0.0004320824,0.00632143
1.05,0.0002669549,0.0004449248,0.001458883
1.06,0.0002898913,0.0004831522,0.001458883
1.07,0.0003529712,0.0005882853,0.00632143
1.08,0.0004077755,0.0006796257,0.001458883
1.09,0.0004617665,0.0007696107,0.001458883
1.1,0.0004627683,0.0007712804,-0.008265972
1.11,0.0003560611,0.0005934352,0.00632143
1.12,0.0004571238,0.000761873,0.001458883
1.13,0.0005466834,0.0009111389,0.001458883
1.14,0.0004621218,0.000770203,0.00632143
1.15,0.0006062466,0.001010411,0.00632143
1.16,0.0006245084,0.001040847,0.001458883
1.17,0.0004584755,0.0007641257,-0.008265972
1.18,0.000359652,0.0005994199,0.001458883
1.19,0.0002872179,0.0004786965,0.00632143
1.2,0.000113973,0.0001899549,-0.003403425
1.21,0.0001332317,0.0002220528,0.00632143
1.22,5.994935e-05,9.991557e-05,0.00632143
1.23,8.265596e-06,1.377599e-05,0.00632143
1.24,7.329819e-05,0.0001221636,-0.003403425
1.25,0.0001083902,0.0001806503,0.001458883
1.26,-1.262435e-05,-2.104059e-05,0.001458883
1.27,-0.0001007259,-0.0001678766,0.00632143
1.28,-0.000155904,-0.0002598399,0.001458883
1.29,-0.0003813511,-0.0006355852,-0.003403425
1.3,-0.0005354225,-0.0008923708,-0.008265972
1.31,-0.0006063405,-0.001010567,0.001458883
1.32,-0.000720754,-0.001201257,0.001458883
1.33,-0.0007430853,-0.001238475,-0.003403425
1.34,-0.0006612541,-0.00110209,0.001458883
1.35,-0.00074706,-0.0012451,-0.008265972
1.36,-0.0007436283,-0.00123938,-0.003403425
1.37,-0.0007138199,-0.0011897,0.00632143
1.38,-0.0007471875,-0.001245313,-0.008265972
1.39,-0.0006643501,-0.00110725,0.001458883
1.4,-0.0005502913,-0.0009171522,0.001458883
1.41,-0.0005313777,-0.0008856295,0.00632143
1.42,-0.0004503751,-0.0007506251,0.001458883
1.43,-0.0003195493,-0.0005325822,0.001458883
1.44,-0.0002834421,-0.0004724034,0.001458883
1.45,-0.0002633303,-0.0004388838,0.001458883
1.46,-0.0002752892,-0.0004588153,0.001458883
1.47,-0.0002831983,-0.0004719972,0.001458883
1.48,-0.0002551161,-0.0004251935,0.00632143
1.49,-0.0001921425,-0.0003202375,0.001458883
1.5,-0.0001753008,-0.000292168,0.001458883
1.51,-0.0001614956,-0.0002691593,0.001458883
1.52,-3.843052e-05,-6.405087e-05,0.00632143
1.53,7.147218e-05,0.0001191203,-0.003403425
1.54,0.0001009732,0.0001682887,-0.003403425
1.55,0.000161568,0.00026928,-0.003403425
1.56,0.0002240882,0.0003734803,0.00632143
1.57,0.0001704029,0.0002840048,-0.003403425
1.58,0.0001010283,0.0001683805,0.001458883
1.59,0.0001365144,0.0002275239,0.001458883
1.6,0.0001705942,0.0002843236,0.001458883
1.61,8.160503e-05,0.0001360084,0.001458883
1.62,2.826531e-05,4.710884e-05,0.001458883
1.63,0.0001146119,0.0001910198,0.00632143
1.64,4.971101e-05,8.285169e-05,0.001458883
1.65,-4.155661e-06,-6.926102e-06,-0.003403425
1.66,-4.990095e-05,-8.316826e-05,0.001458883
1.67,-0.0001120298,-0.0001867163,0.001458883
1.68,-0.0001617023,-0.0002695039,0.001458883
1.69,-0.0001735163,-0.0002891938,0.001458883
1.7,-0.0001880289,-0.0003133815,0.00632143
1.71,-0.0003121867,-0.0005203111,0.001458883
1.72,-0.000290521,-0.0004842016,0.001458883
1.73,-0.0003270562,-0.0005450937,0.001458883
1.74,-0.0003847417,-0.0006412362,0.001458883
1.75,-0.0004534932,-0.0007558221,-0.003403425
1.76,-0.0005126144,-0.0008543573,-0.003403425
1.77,-0.0005929166,-0.0009881944,0.001458883
1.78,-0.0005875708,-0.0009792846,-0.003403425
1.79,-0.0005928399,-0.0009880664,0.001458883
1.8,-0.0006508306,-0.001084718,0.001458883
1.81,-0.0006110364,-0.001018394,0.001458883
1.82,-0.0006860697,-0.001143449,0.001458883
1.83,-0.0007084963,-0.001180827,0.001458883
1.84,-0.0006901927,-0.001150321,0.001458883
1.85,-0.0006780069,-0.001130011,0.001458883
1.86,-0.0006526579,-0.001087763,0.001458883
1.87,-0.0005997785,-0.0009996308,-0.003403425
1.88,-0.0006263028,-0.001043838,0.001458883
1.89,-0.0005446536,-0.0009077559,-0.003403425
1.9,-0.0004703573,-0.0007839288,0.00632143
1.91,-0.0004600589,-0.0007667649,-0.003403425
1.92,-0.0004382451,-0.0007304084,0.00632143
1.93,-0.0003677652,-0.000612942,0.001458883
1.94,-0.0002498162,-0.0004163603,0.001458883
1.95,-0.0001978061,-0.0003296768,0.00632143
1.96,-0.0002153051,-0.0003588418,0.001458883
1.97,-0.0001239586,-0.0002065977,0.001458883
1.98,-4.897191e-05,-8.161984e-05,0.00632143
1.99,-3.389084e-05,-5.648474e-05,0.001458883
2,6.660084e-05,0.0001110014,0.00632143
2.01,0.0001043078,0.0001738463,0.001458883
2.02,0.0001063786,0.0001772976,0.001458883
2.03,0.0001317458,0.0002195763,0.001458883
2.04,7.844359e-05,0.0001307393,0.00632143
2.05,-1.517168e-06,-2.528614e-06,0.001458883
2.06,-4.347191e-05,-7.245318e-05,0.001458883
2.07,-4.732627e-05,-7.887711e-05,0.00632143
2.08,-7.56713e-05,-0.0001261188,0.001458883
2.09,-8.699793e-05,-0.0001449965,0.001458883
2.1,-7.286233e-05,-0.0001214372,-0.008265972
2.11,-9.165291e-05,-0.0001527548,0.001458883
2.12,-0.0001228748,-0.0002047913,-0.008265972
2.13,-0.0001806448,-0.0003010746,0.001458883
2.14,-0.00020374,-0.0003395667,0.00632143
2.15,-0.0002036094,-0.0003393489,0.001458883
2.16,-0.0001512407,-0.0002520678,0.001458883
2.17,-6.338915e-05,-0.0001056486,0.001458883
2.18,2.180313e-05,3.633856e-05,0.00632143
2.19,4.591615e-05,7.652691e-05,-0.003403425
2.2,0.0001311495,0.0002185824,0.001458883
2.21,0.0001852812,0.000308802,0.001458883
2.22,0.0002052213,0.0003420355,0.001458883
2.23,0.0002003021,0.0003338368,0.00632143
2.24,0.000153256,0.0002554266,0.00632143
2.25,0.0001270964,0.0002118273,0.001458883
2.26,0.0001011474,0.000168579,0.001458883
2.27,9.163724e-05,0.0001527287,0.001458883
2.28,5.409085e-06,9.015141e-06,0.001458883
2.29,-5.02095e-05,-8.36825e-05,0.001458883
2.3,-0.0001472608,-0.0002454347,0.001458883
2.31,-0.0002282318,-0.0003803863,0.001458883
2.32,-0.0003222255,-0.0005370425,0.001458883
2.33,-0.0003751096,-0.0006251826,0.001458883
2.34,-0.0004647892,-0.0007746487,0.001458883
2.35,-0.0004824361,-0.0008040601,0.001458883
2.36,-0.0004387223,-0.0007312039,0.001458883
2.37,-0.0003757169,-0.0006261948,0.00632143
2.38,-0.0003862851,-0.0006438085,-0.003403425
2.39,-0.0003219724,-0.0005366207,0.001458883
2.4,-0.000242456,-0.0004040934,0.001458883
2.41,-0.0002456256,-0.000409376,0.001458883
2.42,-0.0002354,-0.0003923333,-0.003403425
2.43,-0.0001708694,-0.0002847823,0.001458883
2.44,-0.0002067486,-0.0003445809,0.001458883
2.45,-0.0002828433,-0.0004714055,0.001458883
2.46,-0.0002786103,-0.0004643505,0.001458883
2.47,-0.0003546906,-0.000591151,0.00632143
2.48,-0.0004023089,-0.0006705148,0.001458883
2.49,-0.0004065099,-0.0006775165,0.001458883
2.5,-0.0003881622,-0.0006469369,0.00632143
2.51,-0.0003740086,-0.0006233477,0.001458883
2.52,-0.0003601958,-0.0006003263,0.001458883
2.53,-0.0002844327,-0.0004740545,0.001458883
2.54,-0.0002626904,-0.0004378172,0.001458883
2.55,-0.0002478107,-0.0004130178,0.00632143
2.56,-0.0002325235,-0.0003875392,0.001458883
2.57,-0.0001659574,-0.0002765956,0.001458883
2.58,-0.0001691844,-0.0002819739,0.001458883
2.59,-5.929582e-05,-9.882636e-05,0.001458883
2.6,8.649586e-05,0.0001441598,0.001458883
2.61,0.0001194937,0.0001991561,-0.003403425
2.62,0.0001055275,0.0001758791,-0.003403425
2.63,0.0001477416,0.000246236,0.001458883
2.64,0.0001160103,0.0001933504,0.001458883
2.65,1.954827e-05,3.258044e-05,0.001458883
2.66,6.50312e-05,0.0001083853,0.001458883
2.67,6.923035e-05,0.0001153839,0.001458883
2.68,0.0001475805,0.0002459675,-0.008265972
2.69,0.0001832083,0.0003053472,0.001458883
2.7,0.000211618,0.0003526966,0.00632143
2.71,0.0002461982,0.0004103303,-0.003403425
2.72,0.0002467272,0.0004112119,0.00632143
2.73,0.0002813489,0.0004689148,0.001458883
2.74,0.0003186966,0.000531161,0.001458883
2.75,0.0002846888,0.0004744813,0.001458883
2.76,0.0002366761,0.0003944601,0.001458883
2.77,0.0002344326,0.000390721,0.001458883
2.78,0.000151773,0.000252955,0.001458883
2.79,0.0001653795,0.0002756326,0.001458883
2.8,0.0001022902,0.0001704836,0.001458883
2.81,4.841486e-05,8.069142e-05,-0.008265972
2.82,1.843991e-05,3.073319e-05,0.001458883
2.83,-3.199749e-05,-5.332915e-05,0.001458883
2.84,-0.0001150337,-0.0001917228,0.001458883
2.85,-0.0001401671,-0.0002336118,0.001458883
2.86,-0.0001053,-0.0001755,0.001458883
2.87,-0.000159729,-0.000266215,0.001458883
2.88,-0.0001804484,-0.0003007473,0.001458883
2.89,-0.0001930797,-0.0003217996,-0.003403425
2.9,-0.0002084462,-0.0003474103,-0.003403425
2.91,-0.0001907087,-0.0003178479,0.001458883
2.92,-0.0002016639,-0.0003361065,0.001458883
2.93,-0.0001935278,-0.0003225463,0.001458883
2.94,-0.0002774966,-0.0004624943,-0.003403425
2.95,-0.0003052493,-0.0005087488,0.00632143
2.96,-0.0003036897,-0.0005061495,-0.008265972
2.97,-0.0002917642,-0.0004862737,-0.003403425
2.98,-0.0002826757,-0.0004711261,0.001458883
2.99,-0.0002500564,-0.0004167606,0.001458883
3,-0.0001711442,-0.0002852403,0.00632143
3.01,-0.0002126168,-0.0003543613,-0.003403425
3.02,-0.0001637068,-0.0002728447,0.001458883
3.03,-0.0001739283,-0.0002898804,0.001458883
3.04,-9.813256e-05,-0.0001635543,0.001458883
3.05,-0.0001048159,-0.0001746931,0.001458883
3.06,-7.380347e-05,-0.0001230058,0.001458883
3.07,-2.996129e-05,-4.993549e-05,0.00632143
3.08,1.630915e-05,2.718192e-05,0.00632143
3.09,1.68407e-05,2.806783e-05,0.001458883
3.1,-1.827288e-05,-3.04548e-05,0.00632143
3.11,-9.214217e-05,-0.0001535703,0.001458883
3.12,-0.0001478214,-0.0002463689,0.001458883
3.13,-0.0001709169,-0.0002848614,0.00632143
3.14,-0.0002710971,-0.0004518286,0.00632143
3.15,-0.0002260145,-0.0003766908,-0.003403425
3.16,-0.0001876722,-0.0003127869,0.00632143
3.17,-0.0001876458,-0.0003127429,0.001458883
3.18,-0.0001524591,-0.0002540986,-0.003403425
3.19,-8.668393e-05,-0.0001444732,0.001458883
3.2,-7.967191e-05,-0.0001327865,0.00632143
3.21,-5.789729e-05,-9.649548e-05,-0.003403425
3.22,-9.858103e-05,-0.0001643017,-0.003403425
3.23,-0.0001293784,-0.0002156306,0.001458883
3.24,-0.0001379643,-0.0002299405,0.00632143
3.25,-0.0001015775,-0.0001692957,0.001458883
3.26,-6.20542e-05,-0.0001034237,0.001458883
3.27,-2.686662e-05,-4.47777e-05,-0.003403425
3.28,-1.659932e-05,-2.766554e-05,0.001458883
3.29,0.0001051222,0.0001752037,0.001458883
3.3,0.0001235127,0.0002058545,-0.008265972
3.31,0.0001335782,0.0002226303,0.00632143
3.32,8.339323e-05,0.0001389887,0.001458883
3.33,9.803055e-06,1.633842e-05,0.001458883
3.34,-8.371071e-05,-0.0001395179,0.00632143
3.35,-0.0001547719,-0.0002579532,0.00632143
3.36,-0.0002580431,-0.0004300718,0.00632143
3.37,-0.00027099,-0.00045165,0.001458883
3.38,-0.0002921872,-0.0004869787,-0.003403425
3.39,-0.0002638896,-0.000439816,-0.003403425
3.4,-0.0002425217,-0.0004042029,0.001458883
3.41,-0.0002131345,-0.0003552242,0.001458883
3.42,-0.0002176445,-0.0003627408,-0.003403425
3.43,-0.0002390266,-0.0003983776,-0.003403425
3.44,-0.0002474408,-0.0004124012,0.00632143
3.45,-0.0002431996,-0.0004053327,-0.003403425
3.46,-0.0002281347,-0.0003802245,0.001458883
3.47,-0.0001521781,-0.0002536302,0.00632143
3.48,-5.029361e-05,-8.382268e-05,0.001458883
3.49,9.48857e-06,1.581428e-05,0.001458883
3.5,0.0001045114,0.0001741857,0.001458883
3.51,0.0001758984,0.0002931639,0.001458883
3.52,0.0002366172,0.0003943619,0.001458883
3.53,0.02532637,0.04221062,0.001458883
3.54,0.04385057,0.07308429,0.001458883
3.55,0.06403714,0.1067286,0.001458883
3.56,0.08565999,0.1427666,-0.003403425
3.57,0.09787502,0.163125,0.00632143
3.58,0.115361,0.1922683,-0.003403425
3.59,0.1354416,0.225736,0.00632143
3.6,0.1490858,0.2484763,0.02090836
3.61,0.1542664,0.2571107,0.03063321
3.62,0.1634901,0.2724834,0.03063321
3.63,0.1729151,0.2881918,0.05494499
3.64,0.1764882,0.2941469,0.06953192
3.65,0.1745147,0.2908579,0.07925677
