t,u,theta,phi
0,0,0,0
0.01,-0.0001206397,-0.0001507996,0.0002653599
0.02,-0.0005468363,-0.0006835454,0.0002653599
0.03,-0.001040674,-0.001300842,0.0002653599
0.04,-0.001117235,-0.001396543,0.0002653599
0.05,-0.001036929,-0.001296161,0.0002653599
0.06,-0.0009680527,-0.001210066,0.0002653599
0.07,-0.0007859561,-0.0009824451,0.0002653599
0.08,-0.0005121853,-0.0006402317,0.0002653599
0.09,-0.0003829429,-0.0004786786,0.0002653599
0.1,-0.0002965617,-0.0003707022,0.0002653599
0.11,-0.0002335193,-0.0002918991,0.0002653599
0.12,-0.0003469611,-0.0004337014,0.0002653599
0.13,-0.0005372476,-0.0006715595,0.0002653599
0.14,-0.0006559865,-0.0008199832,0.0002653599
0.15,-0.0006750645,-0.0008438306,0.0002653599
0.16,-0.0007566704,-0.000945838,0.0002653599
0.17,-0.0007297424,-0.000912178,0.0002653599
0.18,-0.0004872661,-0.0006090826,0.0002653599
0.19,-0.0002670993,-0.0003338742,0.0002653599
0.2,-0.0001804483,-0.0002255604,0.0002653599
0.21,-0.0003127956,-0.0003909945,0.0002653599
0.22,-0.0005022758,-0.0006278447,0.0002653599
0.23,-0.0005913423,-0.0007391778,0.0002653599
0.24,-0.0007408569,-0.0009260711,0.0002653599
0.25,-0.0007006929,-0.0008758662,0.0002653599
0.26,-0.0004968522,-0.0006210651,0.0002653599
0.27,-0.0002366,-0.00029575,0.0002653599
0.28,-0.0001359531,-0.0001699413,0.0002653599
0.29,-6.361686e-05,-7.952107e-05,0.0002653599
0.3,7.591524e-05,9.489404e-05,0.0002653599
0.31,0.0001238672,0.000154834,0.0002653599
0.32,-2.582913e-05,-3.228641e-05,0.0002653599
0.33,-0.0001574565,-0.0001968206,0.0002653599
0.34,-0.0002676754,-0.0003345942,0.0002653599
0.35,-0.0004069533,-0.0005086916,0.0002653599
0.36,-0.0003799037,-0.0004748796,0.0002653599
0.37,-0.0002954072,-0.000369259,0.0002653599
0.38,-0.000203241,-0.0002540513,0.0002653599
0.39,-6.993171e-05,-8.741464e-05,0.0002653599
0.4,7.101612e-05,8.877015e-05,0.0002653599
0.41,9.796145e-05,0.0001224518,0.0002653599
0.42,-7.258594e-05,-9.073242e-05,0.0002653599
0.43,-0.000146271,-0.0001828387,0.0002653599
0.44,-0.0002700353,-0.0003375441,0.0002653599
0.45,-0.0003565767,-0.0004457209,0.0002653599
0.46,-0.0003248571,-0.0004060713,0.0002653599
0.47,-0.0002016563,-0.0002520704,0.0002653599
0.48,-0.0001863221,-0.0002329026,0.0002653599
0.49,-0.0001071422,-0.0001339278,0.0002653599
0.5,-2.004426e-05,-2.505533e-05,0.0002653599
0.51,-7.868865e-05,-9.836081e-05,0.0002653599
0.52,-0.0001940274,-0.0002425342,0.0002653599
0.53,-0.000227449,-0.0002843113,0.0002653599
0.54,-0.0003198082,-0.0003997603,0.0002653599
0.55,-0.0003844623,-0.0004805779,0.0002653599
0.56,-0.0003457029,-0.0004321286,0.0002653599
0.57,-0.0002657946,-0.0003322432,0.0002653599
0.58,-0.0002248719,-0.0002810899,0.0002653599
0.59,-0.0001049155,-0.0001311444,0.0002653599
0.6,-4.874863e-05,-6.093579e-05,0.0002653599
0.61,-8.643914e-05,-0.0001080489,0.0002653599
0.62,-0.0001164529,-0.0001455661,0.0002653599
0.63,-0.0001705679,-0.0002132099,0.0002653599
0.64,-0.0002392719,-0.0002990899,0.0002653599
0.65,-0.0003101344,-0.000387668,0.0002653599
0.66,-0.0002815386,-0.0003519232,0.0002653599
0.67,-0.0001749063,-0.0002186329,0.0002653599
0.68,-0.0001518212,-0.0001897765,0.0002653599
0.69,-2.92775e-05,-3.659687e-05,0.0002653599
0.7,4.240851e-05,5.301063e-05,0.0002653599
0.71,3.94768e-05,4.9346e-05,0.0002653599
0.72,-1.622534e-05,-2.028168e-05,0.0002653599
0.73,-6.616508e-05,-8.270636e-05,0.0002653599
0.74,-0.0001829059,-0.0002286323,0.0002653599
0.75,-0.0002431068,-0.0003038835,0.0002653599
0.76,-0.0001880484,-0.0002350605,0.0002653599
0.77,-0.0001524449,-0.0001905561,0.0002653599
0.78,-0.0001424401,-0.0001780501,0.0002653599
0.79,-0.0001194047,-0.0001492559,0.0002653599
0.8,-9.20735e-05,-0.0001150919,0.0002653599
0.81,-6.196049e-05,-7.745061e-05,0.0002653599
0.82,-7.649489e-05,-9.561861e-05,0.0002653599
0.83,-0.0001027302,-0.0001284128,0.0002653599
0.84,-0.000136823,-0.0001710288,0.0002653599
0.85,-6.397547e-05,-7.996933e-05,0.0002653599
0.86,-6.817513e-05,-8.521891e-05,0.0002653599
