t,u,theta,phi
0,0,0,0
0.01,0,8.823381e-06,0.0005526543
0.02,0,-6.474973e-05,0.0005526543
0.03,0,-0.0001679329,0.0005526543
0.04,0,-0.0002154641,0.0005526543
0.05,0,-0.0002422975,0.0005526543
0.06,0,-0.000300266,0.0005526543
0.07,0,-0.0002906726,0.0005526543
0.08,0,-0.000146369,0.0005526543
0.09,0,-0.0001051392,0.0005526543
0.1,0,-0.0001984771,0.0005526543
0.11,0,-0.0002158094,0.005414963
0.12,0,-4.112005e-05,0.0005526543
0.13,0,-3.698036e-05,0.0005526543
0.14,0,-9.367629e-05,0.0005526543
0.15,0,0.0001144062,0.0005526543
0.16,0,0.0001101882,0.0005526543
0.17,0,-5.150904e-05,0.0005526543
0.18,0,5.965567e-05,0.0005526543
0.19,0,0.0001424197,0.0005526543
0.2,0,3.383501e-05,-0.004309654
0.21,0,4.793548e-05,0.0005526543
0.22,0,0.0001453251,0.0005526543
0.23,0,-5.130787e-05,0.0005526543
0.24,0,-0.0001584826,0.0005526543
0.25,0,-0.0001792981,0.0005526543
0.26,0,-0.0002493402,-0.004309654
0.27,0,-0.0002422553,-0.004309654
0.28,0,-0.00023503,0.0005526543
0.29,0,-0.0002694698,0.0005526543
0.3,0,-0.0001991683,0.0005526543
0.31,0,-0.0001614284,0.0005526543
0.32,0,-0.0002054793,0.0005526543
0.33,0,-0.0001153228,-0.004309654
0.34,0,-3.649925e-05,0.0005526543
0.35,0,-0.0001236261,-0.004309654
0.36,0,-5.810187e-05,0.0005526543
0.37,0,-0.000156552,0.0005526543
0.38,0,-0.0004161713,0.0005526543
0.39,0,-0.0004702017,0.0005526543
0.4,0,-0.0006360073,0.0005526543
0.41,0,-0.0007846998,-0.004309654
0.42,0,-0.0006913622,0.0005526543
0.43,0,-0.0005957772,0.0005526543
0.44,0,-0.0006019815,0.0005526543
0.45,0,-0.0004834436,-0.004309654
0.46,0,-0.0003325089,0.0005526543
0.47,0,-0.0004372238,0.0005526543
0.48,0,-0.0003550739,0.0005526543
0.49,0,-0.0002851634,-0.004309654
0.5,0,-0.000415106,0.0005526543
0.51,0,-0.0003668702,0.0005526543
0.52,0,-0.000107832,0.0005526543
0.53,0,-0.0003425534,0.0005526543
0.54,0,-0.0005341495,0.0005526543
0.55,0,-0.0005266473,0.0005526543
0.56,0,-0.000605158,0.0005526543
0.57,0,-0.0008172917,-0.004309654
0.58,0,-0.0009365629,0.0005526543
0.59,0,-0.001151088,0.0005526543
0.6,0,-0.001244788,0.0005526543
0.61,0,-0.001248538,0.0005526543
0.62,0,-0.001254016,0.005414963
0.63,0,-0.001235792,0.0005526543
0.64,0,-0.001174571,0.0005526543
0.65,0,-0.001003762,0.0005526543
0.66,0,-0.0009094335,0.0005526543
0.67,0,-0.0008231023,0.0005526543
0.68,0,-0.0007848378,0.0005526543
0.69,0,-0.0007925777,-0.004309654
0.7,0,-0.0007604754,0.0005526543
0.71,0,-0.000796865,-0.004309654
0.72,0,-0.0008441352,0.0005526543
0.73,0,-0.0007974488,-0.004309654
0.74,0,-0.0008520504,0.0005526543
0.75,0,-0.001009558,0.0005526543
0.76,0,-0.0008935652,0.0005526543
0.77,0,-0.000969512,0.0005526543
0.78,0,-0.001084612,0.0005526543
0.79,0,-0.001169312,0.0005526543
0.8,0,-0.001290033,0.0005526543
0.81,0,-0.001365076,0.0005526543
0.82,0,-0.001444366,0.0005526543
0.83,0,-0.001703402,0.0005526543
0.84,0,-0.00157795,0.0005526543
0.85,0,-0.001408187,0.0005526543
0.86,0,-0.001552215,0.0005526543
0.87,0,-0.001388976,0.0005526543
0.88,0,-0.00121206,0.0005526543
0.89,0,-0.001371001,0.0005526543
0.9,0,-0.001308446,-0.004309654
0.91,0,-0.001180255,0.0005526543
0.92,0,-0.001281074,0.0005526543
0.93,0,-0.001176591,-0.004309654
0.94,0,-0.0009931931,0.0005526543
0.95,0,-0.001235669,0.0005526543
0.96,0,-0.001255215,0.0005526543
0.97,0,-0.001298492,-0.004309654
0.98,0,-0.001623577,-0.004309654
0.99,0,-0.001702803,0.0005526543
1,0,-0.001765551,0.0005526543
1.01,0.3490658,-0.001921712,0.0005526543
1.02,0.3490658,-0.001983984,0.0005526543
1.03,0.3490658,0.0001805939,0.0005526543
1.04,0.3490658,0.009547214,0.005414963
1.05,0.3490658,0.01915402,0.01513958
1.06,0.3490658,0.01743285,0.03458929
1.07,0.3490658,0.00455024,0.05403876
1.08,0.3490658,-0.008012174,0.06862593
1.09,0.3490658,-0.01334208,0.09293771
1.1,0.3490658,-0.02716415,0.1123869
1.11,0.3490658,-0.04923975,0.1464236
1.12,0.3490658,-0.07416377,0.1707354
1.13,0.3490658,-0.09068617,0.1950471
1.14,0.3490658,-0.1072728,0.2290838
1.15,0.3490658,-0.1372106,0.2631204
1.16,0.3490658,-0.1681591,0.2874322
1.17,0.3490658,-0.1831186,0.311744
1.18,0.3490658,-0.2010363,0.3360558
1.19,0.3490658,-0.2321732,0.3603675
1.2,0.3490658,-0.2527826,0.3749549
1.21,0.3490658,-0.2577925,0.3846796
1.22,0.3490658,-0.2529781,0.3895419
1.23,0.3490658,-0.2470785,0.3944042
1.24,0.3490658,-0.2405842,0.3992667
1.25,0.3490658,-0.2334878,0.404129
1.26,0.3490658,-0.2189789,0.404129
1.27,0.3490658,-0.1953614,0.404129
1.28,0.3490658,-0.1699947,0.4089913
1.29,0.3490658,-0.1458703,0.404129
1.3,0.3490658,-0.1240643,0.404129
1.31,0.3490658,-0.09680054,0.404129
1.32,0.3490658,-0.07107528,0.404129
1.33,0.3490658,-0.04671232,0.4089913
1.34,0.3490658,-0.02112875,0.404129
1.35,0.3490658,0.005329108,0.404129
1.36,0.3490658,0.03000024,0.404129
1.37,0.3490658,0.05412181,0.4089913
1.38,0.3490658,0.07832504,0.4089913
1.39,0.3490658,0.1005065,0.4089913
1.4,0.3490658,0.1228473,0.4089913
1.41,0.3490658,0.143993,0.404129
1.42,0.3490658,0.163316,0.404129
1.43,0.3490658,0.1820245,0.4089913
1.44,0.3490658,0.1991391,0.4089913
1.45,0.3490658,0.2139,0.4089913
1.46,0.3490658,0.2281065,0.4089913
1.47,0.3490658,0.2400753,0.4089913
1.48,0.3490658,0.2497275,0.4089913
1.49,0.3490658,0.258438,0.4089913
1.5,0.3490658,0.2663995,0.4089913
1.51,0.3490658,0.2718206,0.404129
1.52,0.3490658,0.2749589,0.4089913
1.53,0.3490658,0.2760025,0.404129
1.54,0.3490658,0.2754748,0.4089913
1.55,0.3490658,0.2736024,0.4089913
1.56,0.3490658,0.2700644,0.4089913
1.57,0.3490658,0.2638373,0.4089913
1.58,0.3490658,0.2553519,0.4089913
1.59,0.3490658,0.2478947,0.4089913
1.6,0.3490658,0.238117,0.4089913
1.61,0.3490658,0.2255189,0.4089913
1.62,0.3490658,0.2103355,0.4089913
1.63,0.3490658,0.1941625,0.4089913
1.64,0.3490658,0.1779545,0.4089913
1.65,0.3490658,0.1605786,0.4089913
1.66,0.3490658,0.1413795,0.404129
1.67,0.3490658,0.1211742,0.4089913
1.68,0.3490658,0.100264,0.4089913
1.69,0.3490658,0.07901964,0.4089913
1.7,0.3490658,0.05728226,0.4089913
1.71,0.3490658,0.03512851,0.404129
1.72,0.3490658,0.01181439,0.4089913
1.73,0.3490658,-0.01095706,0.404129
1.74,0.3490658,-0.03351785,0.4089913
1.75,0.3490658,-0.05617743,0.4089913
1.76,0.3490658,-0.07861871,0.4089913
1.77,0.3490658,-0.10031,0.4089913
1.78,0.3490658,-0.1215104,0.4089913
1.79,0.3490658,-0.141907,0.4089913
1.8,0.3490658,-0.1611782,0.4089913
1.81,0.3490658,-0.1793342,0.4089913
1.82,0.3490658,-0.1967112,0.4089913
1.83,0.3490658,-0.2128838,0.404129
1.84,0.3490658,-0.2276781,0.4089913
1.85,0.3490658,-0.2412378,0.4089913
1.86,0.3490658,-0.2534514,0.4089913
1.87,0.3490658,-0.2638865,0.4089913
1.88,0.3490658,-0.2724311,0.4089913
1.89,0.3490658,-0.2795402,0.4089913
1.9,0.3490658,-0.2852142,0.4089913
1.91,0.3490658,-0.289227,0.404129
1.92,0.3490658,-0.2915168,0.4089913
1.93,0.3490658,-0.2920707,0.404129
1.94,0.3490658,-0.2909603,0.4089913
1.95,0.3490658,-0.2880193,0.4089913
1.96,0.3490658,-0.2832195,0.404129
1.97,0.3490658,-0.2768214,0.4089913
1.98,0.3490658,-0.268928,0.404129
1.99,0.3490658,-0.2591884,0.404129
2,0.3490658,-0.2482332,0.404129
2.01,0.3490658,-0.2360939,0.4089913
2.02,0.3490658,-0.2223262,0.404129
2.03,0.3490658,-0.2075145,0.4089913
2.04,0.3490658,-0.1914968,0.404129
2.05,0.3490658,-0.1739854,0.4089913
2.06,0.3490658,-0.1554988,0.4089913
2.07,0.3490658,-0.1364714,0.4089913
2.08,0.3490658,-0.1161554,0.4089913
2.09,0.3490658,-0.09536483,0.4089913
2.1,0.3490658,-0.07445689,0.4089913
2.11,0.3490658,-0.05309146,0.4089913
2.12,0.3490658,-0.03122591,0.4089913
2.13,0.3490658,-0.009440052,0.404129
2.14,0.3490658,0.01211298,0.4089913
2.15,0.3490658,0.03364918,0.404129
2.16,0.3490658,0.05464159,0.4089913
2.17,0.3490658,0.07489904,0.4089913
2.18,0.3490658,0.09502915,0.404129
2.19,0.3490658,0.1145851,0.4089913
2.2,0.3490658,0.1329075,0.404129
2.21,0.3490658,0.1505117,0.4089913
2.22,0.3490658,0.1671079,0.404129
2.23,0.3490658,0.1824238,0.4089913
2.24,0.3490658,0.1966699,0.4089913
2.25,0.3490658,0.209778,0.404129
2.26,0.3490658,0.2214475,0.4089913
2.27,0.3490658,0.2315019,0.404129
2.28,0.3490658,0.2402289,0.404129
2.29,0.3490658,0.2473398,0.4089913
2.3,0.3490658,0.2526762,0.4089913
2.31,0.3490658,0.2564278,0.4089913
2.32,0.3490658,0.2586148,0.404129
2.33,0.3490658,0.259046,0.404129
2.34,0.3490658,0.257859,0.4089913
2.35,0.3490658,0.2549968,0.4089913
2.36,0.3490658,0.2505012,0.4089913
