t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
0,0,0,0,0,0,0,0,0
0.01,2.820837e-05,0,-0.0001505762,0,0.003181696,0,0,0
0.02,4.087197e-05,0.0009162682,-0.0001505762,0.07739496,-0.001680374,0.002873391,0.02823987,0
0.03,6.495023e-05,-0.0006336058,-0.001216426,-0.05628059,0.003181696,-0.001053004,-0.02778794,0
0.04,5.404492e-05,0.0008688539,-0.0009499639,0.0731595,0.003181696,0.00251549,0.01185365,0
0.05,9.69038e-05,0.0007389092,-0.001482889,0.05566571,-0.001680374,0.00321278,0.01621017,0
0.06,7.034044e-05,-0.0008013492,-0.0009499639,-0.07262671,-0.001680374,-0.001159728,-0.04726204,0
0.07,2.259735e-05,-0.0005977708,-0.0009499639,-0.05821608,-0.001680374,-0.002022727,-0.03942127,0
0.08,8.969198e-06,-0.0004068459,0.0009152703,-0.04714918,-0.001680374,-0.00194615,-0.007461446,0
0.09,1.525065e-05,-0.0003361223,0.0006488077,-0.03596376,0.003181696,-0.0016901,0.0107911,0
0.1,2.613072e-05,0.001079999,0.0003823452,0.09109786,-0.001680374,0.002853372,0.05972452,0
0.11,-2.472991e-05,-0.0005268016,0.0001158826,-0.04351048,-0.001680374,-0.0007820392,-0.003692612,0
0.12,-5.503103e-05,-0.0005172953,-0.0009499639,-0.0351779,-0.001680374,-0.00167555,-0.02207519,0
0.13,-8.479041e-05,-0.0003391068,-0.001749352,-0.0282497,0.003181696,-0.001811563,-0.00660478,0
0.14,-8.640029e-05,0.001042144,-0.001216426,0.09356438,0.003181696,0.002691721,0.04843358,0
0.15,-7.32642e-05,0.0007368946,-0.001216426,0.0729921,-0.001680374,0.003498705,0.03358314,0
0.16,-0.0001065754,-0.0008760088,0.0001158826,-0.05963502,-0.001680374,-0.001022417,-0.0441966,0
0.17,-7.003675e-05,-0.0006899966,0.0003823452,-0.04860144,0.003181696,-0.002007385,-0.0427092,0
0.18,-4.664603e-05,0.0009428706,0.0006488077,0.07958766,0.003181696,0.002405941,0.03101121,0
0.19,-5.308121e-05,0.0007083038,0.001448195,0.0625163,0.003181696,0.003358244,0.03005708,0
0.2,-7.928893e-05,0.0004177661,0.0009152703,0.04815279,-0.001680374,0.003343358,0.001209348,0
0.21,-9.025261e-05,-0.001065045,0.0001158826,-0.080763,-0.001680374,-0.001270848,-0.05882825,0
0.22,-0.0001185559,-0.0008027209,-0.0009499639,-0.06390861,-0.001680374,-0.00211742,-0.04422894,0
0.23,-0.0001122694,-0.0005738637,-0.002015814,-0.05049074,-0.001680374,-0.001984906,-0.008087256,0
0.24,-0.0001865552,-0.0004711154,-0.001216426,-0.03726094,0.003181696,-0.001693504,0.0116186,0
0.25,-0.000167055,0.0008477612,0.0006488077,0.08728996,-0.001680374,0.002859609,0.0604811,0
0.26,-6.938147e-05,-0.0007464061,0.001181737,-0.04540396,-0.001680374,-0.0007749465,-0.003335495,0
0.27,-8.242852e-05,-0.0005322667,0.001448195,-0.02992349,0.003181696,-0.00166767,-0.02169203,0
0.28,-4.794058e-05,0.001026444,0.002514046,0.09303745,0.003181696,0.002581222,0.03652671,0
0.29,-3.219645e-05,0.0007943569,0.001448195,0.07309496,-0.001680374,0.003397031,0.02790436,0
0.3,-2.512735e-05,-0.0008230051,-0.0001505762,-0.0602034,-0.001680374,-0.001074136,-0.04603486,0
0.31,-4.504039e-05,-0.0005969885,0.0001158826,-0.04776216,0.003181696,-0.002024023,-0.04288499,0
0.32,1.108669e-05,0.0009596183,-0.0004170388,0.07768017,0.003181696,0.00240306,0.03131117,0
0.33,-5.405716e-05,0.0007594536,0.0001158826,0.06237245,-0.001680374,0.003361733,0.0303871,0
0.34,1.070447e-05,-0.0009461495,0.001181737,-0.07087915,-0.001680374,-0.001043256,-0.04148607,0
0.35,-9.572672e-06,-0.0006303654,0.001714658,-0.05240516,0.003181696,-0.001972871,-0.03866999,0
0.36,-4.618907e-05,0.0009558179,0.001448195,0.07502345,0.003181696,0.002449516,0.03468888,0
0.37,-9.490521e-05,0.0006510082,0.0001158826,0.05712654,-0.001680374,0.003394525,0.03246978,0
0.38,-0.0001006092,-0.001026627,-0.0001505762,-0.07358758,0.003181696,-0.00102071,-0.04021652,0
0.39,-8.453317e-05,0.0005614213,-0.0009499639,0.05970176,-0.001680374,0.002431138,0.005455587,0
0.4,-7.099452e-05,-0.0008282099,-0.0004170388,-0.06924462,0.003181696,-0.001219356,-0.02737191,0
0.41,-8.816025e-05,0.0006499641,-0.002015814,0.06363815,0.003181696,0.002524976,0.01764197,0
0.42,-0.0001282088,0.0005228078,0.0001158826,0.0495774,-0.001680374,0.003271248,0.02155661,0
0.43,-0.0001600972,-0.00110023,-0.0006835088,-0.07927556,-0.001680374,-0.001107308,-0.04371432,0
0.44,-8.031135e-05,-0.000884206,0.0001158826,-0.06219393,-0.001680374,-0.001986417,-0.03740431,0
0.45,-3.969241e-05,-0.0005043735,0.0001158826,-0.0438826,0.003181696,-0.00192113,-0.006153536,0
0.46,-5.834118e-05,0.001002257,0.001714658,0.08569336,-0.001680374,0.002713645,0.05448926,0
0.47,1.712066e-06,-0.0006454355,0.001448195,-0.04905044,-0.001680374,-0.0008270831,-0.00365201,0
0.48,7.471765e-06,-0.0004968898,-0.0009499639,-0.03450345,-0.001680374,-0.001670612,-0.02043303,0
0.49,-1.610042e-05,-0.0002595848,-0.0001505762,-0.02602564,0.003181696,-0.001793487,-0.004934935,0
0.5,-4.19223e-05,0.001127841,-0.001216426,0.09545355,-0.001680374,0.002706106,0.04919446,0
0.51,-0.0001136039,-0.0005581228,-0.0006835088,-0.04325914,-0.001680374,-0.0008861357,-0.009504089,0
0.52,-0.0001062287,-0.0006004269,0.0003823452,-0.03658389,-0.001680374,-0.001733469,-0.0247689,0
0.53,-0.000123304,-0.0003843344,0.0009152703,-0.02794189,-0.001680374,-0.001836828,-0.007487614,0
0.54,-9.792103e-05,-0.0003314669,0.001448195,-0.02219586,0.003181696,-0.001706462,0.005224492,0
0.55,-0.0001597785,0.001079898,0.0001158826,0.1011325,-0.001680374,0.002788442,0.0532698,0
0.56,-0.0001142182,-0.0006492613,0.0003823452,-0.04001521,-0.001680374,-0.0008542116,-0.009153273,0
0.57,-0.0001683633,-0.0005455622,0.0001158826,-0.02926486,-0.001680374,-0.001732017,-0.02599865,0
0.58,-8.35141e-05,-0.0004057894,-0.0001505762,-0.02527233,0.003181696,-0.001853104,-0.00910898,0
0.59,-4.278087e-05,0.001103272,0.0001158826,0.1001277,0.003181696,0.002665382,0.04659938,0
0.6,-1.287703e-05,0.0008473382,0.0006488077,0.07919889,-0.001680374,0.00347863,0.03220901,0
0.61,7.267683e-05,-0.00076146,0.0003823452,-0.05489963,-0.001680374,-0.001040498,-0.04567096,0
0.62,3.943208e-05,-0.0004398526,-0.0009499639,-0.04081503,0.003181696,-0.002023011,-0.04407127,0
0.63,-1.880807e-05,0.001093546,0.0009152703,0.0817529,0.003181696,0.00238804,0.02974963,0
0.64,-2.648099e-05,0.0007280802,0.0006488077,0.06011666,-0.001680374,0.003340376,0.028711,0
0.65,-4.332831e-05,-0.0009197406,0.001181737,-0.07046277,-0.001680374,-0.00105906,-0.04258783,0
0.66,2.328776e-05,-0.0007019757,0.0006488077,-0.05552045,-0.001680374,-0.001983291,-0.03894227,0
0.67,-7.245289e-06,-0.0003553409,0.001448195,-0.04019203,0.003181696,-0.001940884,-0.008334864,0
0.68,-1.555135e-05,0.001042757,-0.0001505762,0.08482903,0.003181696,0.002688317,0.05258962,0
0.69,-5.632817e-05,0.0007388575,-0.002015814,0.06683967,0.003181696,0.003544271,0.03833485,0
0.7,-0.0001029452,0.0004183696,-0.001216426,0.05080319,0.003181696,0.00341661,0.002642229,0
0.71,-3.027743e-05,0.0002629139,-0.001216426,0.03706232,0.003181696,0.003130929,-0.01669098,0
0.72,5.492631e-05,0.0002950057,-0.0004170388,0.03045498,-0.001680374,0.002973475,-0.02202231,0
0.73,9.449054e-05,-0.0009939964,0.001181737,-0.09089732,-0.001680374,-0.00145713,-0.0638887,0
0.74,7.386375e-05,-0.0006614318,0.001181737,-0.06984718,-0.001680374,-0.002152086,-0.0415034,0
0.75,0.0001467324,-0.0004222738,0.0009152703,-0.05450534,0.003181696,-0.001953763,-0.003858813,0
0.76,0.0001315514,0.001115859,0.0003823452,0.07919677,-0.001680374,0.00274173,0.05828963,0
0.77,0.000158106,-0.0005082531,-0.0006835088,-0.0533457,0.003181696,-0.0007832458,0.0002116933,0
0.78,0.000205944,0.0009558994,-0.0006835088,0.07773475,-0.001680374,0.00276057,0.02575308,0
0.79,0.0001561627,-0.0004278025,-0.001482889,-0.05373936,0.003181696,-0.001050192,-0.02231144,0
0.8,0.0001875131,0.0009575445,0.0006488077,0.0720208,-0.001680374,0.002560429,0.0157404,0
0.81,0.0001052215,-0.0004765812,0.001181737,-0.05987375,-0.001680374,-0.001141958,-0.02512095,0
0.82,2.832818e-05,-0.0004856676,0.001448195,-0.05056248,-0.001680374,-0.001853083,-0.02678016,0
0.83,4.695223e-05,-0.0003709155,0.001981121,-0.04198231,-0.001680374,-0.00184405,-0.003815339,0
0.84,5.755504e-06,-0.0002606249,0.001181737,-0.03059861,-0.001680374,-0.001660402,0.01032093,0
0.85,6.555499e-06,-0.0002495966,-0.0006835088,-0.0236153,0.003181696,-0.001544765,0.01495527,0
0.86,-1.293779e-05,0.001148759,-0.002015814,0.1000645,-0.001680374,0.002880689,0.05747443,0
0.87,5.873595e-05,-0.0005090238,-0.001749352,-0.03865837,-0.001680374,-0.0008109768,-0.007538974,0
0.88,0.0001154071,-0.0003596857,0.001448195,-0.02722419,-0.001680374,-0.001714008,-0.0253332,0
0.89,0.000148292,-7.822463e-05,0.001448195,-0.01957915,0.003181696,-0.001843945,-0.008798128,0
0.9,0.0001308608,0.001361742,0.0009152703,0.1015565,-0.001680374,0.002666657,0.04663621,0
0.91,0.0001533427,-0.000333729,0.001181737,-0.03933562,-0.001680374,-0.0009140628,-0.01120617,0
0.92,0.0001917547,-0.0002764112,-0.0001505762,-0.03068089,-0.001680374,-0.001750625,-0.02586893,0
0.93,0.0001307184,-3.237354e-05,-0.0004170388,-0.02320161,-0.001680374,-0.001848323,-0.008116771,0
0.94,0.000117839,-5.589345e-05,-0.0009499639,-0.02144697,0.003181696,-0.001715867,0.004654979,0
0.95,0.0001294584,0.001287093,-0.001482889,0.09933532,-0.001680374,0.002781518,0.05293171,0
0.96,0.0001387254,-0.0003558211,-0.0009499639,-0.0388783,-0.001680374,-0.0008535106,-0.008801663,0
0.97,0.0001880022,-0.0002962583,0.0009152703,-0.03043383,-0.001680374,-0.001726424,-0.02513198,0
0.98,0.0002601662,-3.343383e-05,0.0003823452,-0.02242813,-0.001680374,-0.001841056,-0.008121775,0
0.99,0.0002710294,0.0001168737,0.0003823452,-0.01543552,0.003181696,-0.001712952,0.004569242,0
1,0.0002425935,0.001493878,0.0009152703,0.1044068,-0.001680374,0.002780047,0.05271654,0
1.01,0.000308059,-0.000216751,0.0006488077,-0.03735993,0.003181696,-0.0008603723,-0.009553747,0
1.02,0.000290247,0.001243605,-0.0001505762,0.08897761,0.003181696,0.002655527,0.01722628,0
1.03,0.0002578692,0.001076876,-0.0009499639,0.06653189,-0.001680374,0.00324902,0.01485185,0
1.04,0.0002294929,-0.0005859237,0.0001158826,-0.06877895,0.003181696,-0.00118236,-0.05072748,0
1.05,0.000226173,0.0009332675,-0.0004170388,0.06000565,-0.001680374,0.002330554,0.0006739013,0
1.06,0.0002696676,-0.0005159451,-0.0001505762,-0.07134463,-0.001680374,-0.001264972,-0.0287418,0
1.07,0.0003169382,-0.000361851,0.0003823452,-0.05412317,0.003181696,-0.001874707,-0.02492435,0
1.08,0.0003019369,0.001273618,0.0009152703,0.07708855,-0.001680374,0.002572916,0.04278734,0
1.09,0.000328834,-0.0003386389,0.0006488077,-0.0567224,-0.001680374,-0.0009178699,-0.006728923,0
1.1,0.0003424474,-0.000232733,0.0001158826,-0.04240818,0.003181696,-0.001689929,-0.01888744,0
1.11,0.0003387245,0.001359483,0.0006488077,0.08463554,-0.001680374,0.002619289,0.04141093,0
1.12,0.0003342783,-0.0002467588,-0.0009499639,-0.05114105,-0.001680374,-0.0009362663,-0.01008542,0
1.13,0.0002980373,-0.0001922016,-0.001216426,-0.04022009,0.003181696,-0.001725869,-0.02187909,0
1.14,0.0002533473,0.001320153,-0.0006835088,0.08368229,-0.001680374,0.002587154,0.03928744,0
1.15,0.000183121,-0.0003486183,-0.0004170388,-0.05373814,-0.001680374,-0.0009580478,-0.01126348,0
1.16,0.000137615,-0.0003796041,0.0003823452,-0.04473182,-0.001680374,-0.001737629,-0.022281,0
1.17,0.0001547946,-0.000220527,0.0006488077,-0.03616406,-0.001680374,-0.001805178,-0.003683778,0
1.18,0.0001052811,-0.0001132726,0.0006488077,-0.02669654,-0.001680374,-0.001661899,0.008995397,0
1.19,5.211702e-05,-0.0001239884,0.0009152703,-0.02162483,0.003181696,-0.001560011,0.01346154,0
1.2,9.114856e-05,0.00119411,0.0003823452,0.09882461,-0.001680374,0.002864027,0.05635156,0
1.21,-1.643597e-05,-0.0003980205,-0.0009499639,-0.03748553,0.003181696,-0.0008202381,-0.008025378,0
1.22,-1.275708e-05,0.0008689396,-0.001216426,0.08262002,-0.001680374,0.002668656,0.01772743,0
1.23,4.711862e-05,-0.0006141685,-0.001482889,-0.05298804,0.003181696,-0.00113613,-0.02840973,0
1.24,-2.60813e-05,0.0008949605,0.0009152703,0.07663374,0.003181696,0.002502034,0.01225766,0
1.25,-1.052801e-06,0.0006693768,0.001714658,0.0555518,0.003181696,0.003210242,0.01608864,0
1.26,1.286562e-05,0.000439247,0.0006488077,0.04309931,-0.001680374,0.003225716,-0.004730685,0
1.27,0.003888526,-0.0009882156,0.0009152703,-0.08344413,0.003181696,-0.001318757,-0.05956053,0
1.28,0.04879114,0.005607562,0.8461343,0.2085341,0.01776886,0.002356732,0.003553398,0
1.29,0.06644894,0.06733887,5.743714,2.323396,0.008044004,0.01732514,0.1862976,0
1.3,0.1439826,0.08712471,7.480517,2.099851,-0.006542921,0.01020588,-0.008605331,0
1.31,0.2273225,0.1771986,5.180413,4.131949,-0.006542921,-0.004922707,-0.3369206,0
1.32,0.2569097,0.2819698,3.596027,6.013492,0.008044004,-0.008735364,-0.3270458,0
1.33,0.2490907,0.3142583,4.876379,5.286567,-0.001680374,0.00191605,-0.3253695,0
1.34,0.3043052,0.2825186,6.236937,2.512028,-0.01140523,-0.007284474,-0.6475224,0
1.35,0.377375,0.3333829,5.472989,3.06339,-0.01626778,-0.01670781,-0.6080768,0
1.36,0.4159126,0.4177746,4.131617,4.291044,-0.02113008,-0.01917669,-0.1382165,0
1.37,0.4358898,0.4551935,4.044483,3.642931,-0.02599263,-0.02081648,0.1389453,0
1.38,0.4819362,0.4633454,4.147071,2.307601,-0.02599263,-0.02374323,0.2264278,0
1.39,0.5602844,0.5070761,3.447341,2.494056,-0.02599263,-0.02169454,0.4877784,0
1.4,0.6148074,0.5959038,2.424658,3.918952,-0.01626778,-0.01749778,0.875259,0
1.41,0.6228631,0.6565718,1.691087,4.092161,-0.006542921,-0.005682193,1.189335,0
1.42,0.6342952,0.6514788,1.332961,2.193445,0.01290655,0.005195545,1.24559,0
1.43,0.6633212,0.650878,0.5836687,1.165105,0.03235579,0.0248916,1.419729,0
1.44,0.6822386,0.6772074,-0.4091705,1.202511,0.06153011,0.04767995,1.790214,0
