t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0,0,0,0,0,0,0,0,0
0.01,3.211216e-05,0,0.0005249418,0,-8.535385e-05,0,0,0
0.02,7.671425e-05,-1.007199e-05,0.0002584793,-0.0002140147,-8.535385e-05,-4.284763e-06,0.0001320595,0
0.03,2.089386e-06,-2.21253e-06,-0.0002744421,-0.0002941641,-8.535385e-05,-7.179652e-06,0.0002288268,0
0.04,-2.134085e-05,-2.29351e-05,-0.001873218,-0.0005068887,-8.535385e-05,-8.94501e-06,0.0003236977,0
0.05,-5.761096e-05,-4.617142e-05,-0.001606755,-0.0006947325,-8.535385e-05,-9.732488e-06,0.0004039359,0
0.06,-7.669639e-05,-7.550104e-05,-0.001606755,-0.0008823532,-8.535385e-05,-9.698965e-06,0.0004785201,0
0.07,-6.872068e-05,-0.0001030295,-0.0005409047,-0.001021792,-8.535385e-05,-8.997851e-06,0.0005381335,0
0.08,-7.96879e-05,-0.0001197006,-0.000807371,-0.001069478,-8.535385e-05,-7.849319e-06,0.0005768419,0
0.09,-3.133532e-05,-0.0001349906,-0.0005409047,-0.001077116,-8.535385e-05,-6.522788e-06,0.0005882133,0
0.1,-2.274378e-05,-0.0001285381,0.001324333,-0.0009478397,-8.535385e-05,-5.324339e-06,0.0005681266,0
0.11,-1.469189e-05,-0.0001202529,0.002123717,-0.0008012855,-8.535385e-05,-4.530952e-06,0.0005225021,0
0.12,1.460185e-06,-0.0001106923,0.001324333,-0.00064279,-8.535385e-05,-4.368844e-06,0.0004525241,0
0.13,-9.237036e-05,-9.729748e-05,-7.979572e-06,-0.0004730957,-8.535385e-05,-4.966662e-06,0.0003732278,0
0.14,-0.0001859707,-0.0001191026,-0.0002744421,-0.0004894531,-8.535385e-05,-6.310982e-06,0.0002965508,0
0.15,-0.0001342528,-0.0001654863,-0.001340296,-0.0006152886,-8.535385e-05,-8.294926e-06,0.000229564,0
0.16,-8.665471e-05,-0.0001787648,-0.000807371,-0.0005676039,-8.535385e-05,-1.070392e-05,0.0001875632,0
0.17,-7.551494e-05,-0.0001700185,-0.001073834,-0.0004227152,-8.535385e-05,-1.32973e-05,0.0001639167,0
0.18,-7.27117e-05,-0.0001583432,-0.001073834,-0.0002650209,-8.535385e-05,-1.604276e-05,0.0001275619,0
0.19,3.744201e-05,-0.0001474421,-7.979572e-06,-0.0001094449,-8.535385e-05,-1.909191e-05,7.218423e-05,0
0.2,8.84671e-06,-0.0001000057,0.001857255,0.0002129405,-8.535385e-05,-2.25579e-05,9.221352e-06,0
0.21,2.686499e-05,-7.489884e-05,0.001590792,0.0003831228,-8.535385e-05,-2.64348e-05,-5.031206e-05,0
0.22,-1.7645e-05,-4.967572e-05,0.001857255,0.0005322671,-8.535385e-05,-3.068155e-05,-0.0001097284,0
0.23,-4.693895e-05,-4.618031e-05,0.0007914044,0.0005376446,-8.535385e-05,-3.514154e-05,-0.0001434531,0
0.24,-1.578373e-07,-5.299939e-05,0.001057871,0.0004722115,-8.535385e-05,-3.953003e-05,-0.0001486806,0
0.25,1.617169e-05,-4.104277e-05,-0.0002744421,0.0004805691,-8.535385e-05,-4.354204e-05,-0.0001209417,0
0.26,-1.054481e-05,-2.666435e-05,-0.001340296,0.0004773365,-8.535385e-05,-4.692064e-05,-7.010437e-05,0
0.27,5.718127e-05,-2.57413e-05,-0.000807371,0.0004018019,-8.535385e-05,-4.957662e-05,-1.631101e-05,0
0.28,4.300399e-05,-1.892504e-06,-0.002406146,0.0004404734,-8.535385e-05,-5.153726e-05,3.762579e-05,0
0.29,3.415605e-05,9.600172e-06,-0.001073834,0.0004017937,-8.535385e-05,-5.28185e-05,9.615198e-05,0
0.3,-7.313025e-06,1.398725e-05,0.0005249418,0.0003307342,-8.535385e-05,-5.347282e-05,0.0001480281,0
0.31,1.151929e-05,1.970771e-06,0.0007914044,0.000180856,-8.535385e-05,-5.355183e-05,0.0002031338,0
0.32,5.882303e-05,-8.704465e-07,0.002123717,8.585927e-05,-8.535385e-05,-5.304688e-05,0.000263357,0
0.33,5.151512e-05,1.249771e-05,0.0007914044,6.98337e-05,-8.535385e-05,-5.193795e-05,0.0003292372,0
0.34,8.178219e-05,1.828965e-05,0.001324333,1.535894e-05,-8.535385e-05,-5.026951e-05,0.0003881798,0
0.35,6.048822e-05,3.161728e-05,0.0002584793,6.026916e-06,-8.535385e-05,-4.818064e-05,0.0004331449,0
0.36,3.502691e-05,3.238154e-05,-0.001073834,-6.793407e-05,-8.535385e-05,-4.578969e-05,0.0004729937,0
0.37,4.798095e-05,2.279714e-05,-0.001340296,-0.000185558,-8.535385e-05,-4.316316e-05,0.0005081979,0
0.38,0.0001009196,1.919113e-05,-0.001340296,-0.0002674203,-8.535385e-05,-4.03183e-05,0.0005469912,0
0.39,8.227152e-05,3.357923e-05,-0.001073834,-0.0002626174,-8.535385e-05,-3.722863e-05,0.0005899927,0
0.4,8.775984e-05,3.584333e-05,0.0005249418,-0.0003232879,-8.535385e-05,-3.390968e-05,0.000628903,0
0.41,0.0001198893,3.785e-05,0.0007914044,-0.0003770745,-8.535385e-05,-3.045107e-05,0.0006569956,0
0.42,0.0001161789,4.886911e-05,0.0005249418,-0.0003888806,-8.535385e-05,-2.691264e-05,0.0006851256,0
0.43,0.0001737548,5.379617e-05,0.002656646,-0.000438752,-8.535385e-05,-2.329498e-05,0.0007139987,0
0.44,6.864521e-05,7.550756e-05,0.001057871,-0.0004102056,-8.535385e-05,-1.960954e-05,0.0007408859,0
0.45,5.026089e-05,5.277899e-05,0.0005249418,-0.000612686,-8.535385e-05,-1.585208e-05,0.0007711615,0
0.46,-1.526611e-05,2.869163e-05,-0.001073834,-0.000798884,-8.535385e-05,-1.201624e-05,0.0008003522,0
0.47,2.880945e-05,-1.248282e-05,-0.001606755,-0.001058573,-8.535385e-05,-8.018892e-06,0.0008472982,0
0.48,4.279658e-05,-2.769502e-05,-0.002939068,-0.001161467,-8.535385e-05,-3.768417e-06,0.0008972869,0
0.49,7.931258e-05,-3.482134e-05,-0.0005409047,-0.001210288,-8.535385e-05,7.085187e-07,0.0009422177,0
0.5,8.004095e-05,-2.832251e-05,-0.000807371,-0.001169117,-8.535385e-05,5.232272e-06,0.00095998,0
0.51,7.202887e-05,-2.440006e-05,0.0007914044,-0.001128368,-8.535385e-05,9.530163e-06,0.0009510483,0
0.52,2.948475e-05,-2.514143e-05,0.0005249418,-0.00110002,-8.535385e-05,1.337272e-05,0.0009202008,0
0.53,8.170831e-05,-4.090954e-05,0.001857255,-0.001140547,-8.535385e-05,1.663961e-05,0.0008813572,0
0.54,0.0001090184,-3.437e-05,-0.0005409047,-0.001067162,-8.535385e-05,1.933513e-05,0.0008442297,0
0.55,0.0001620898,-2.063638e-05,0.0005249418,-0.000976322,-8.535385e-05,2.154626e-05,0.0008157772,0
0.56,0.0002109569,7.015573e-06,0.0002584793,-0.0008317922,-8.535385e-05,2.332755e-05,0.0007843894,0
0.57,0.0002002601,4.291687e-05,-0.002406146,-0.0006740846,-8.535385e-05,2.469197e-05,0.0007533724,0
0.58,0.0001489512,6.386294e-05,-0.000807371,-0.0006217079,-8.535385e-05,2.568679e-05,0.000726396,0
0.59,0.000236252,6.004739e-05,-0.001606755,-0.0007130704,-8.535385e-05,2.641872e-05,0.0007119803,0
0.6,0.0002484114,8.647489e-05,-0.000807371,-0.0006752517,-8.535385e-05,2.710272e-05,0.0007242028,0
0.61,0.0002942555,0.0001079742,0.001057871,-0.0007044293,-8.535385e-05,2.803511e-05,0.0007681086,0
0.62,0.0004412917,0.0001372484,0.002390184,-0.0007157956,-8.535385e-05,2.939993e-05,0.0008209296,0
0.63,0.0004493276,0.0002065625,0.001057871,-0.0005644441,-8.535385e-05,3.127713e-05,0.0008856885,0
0.64,0.0004948849,0.0002555366,0.0007914044,-0.0005685555,-8.535385e-05,3.374436e-05,0.0009600661,0
0.65,0.0004928451,0.0003025336,0.001857255,-0.0006142524,-8.535385e-05,3.682089e-05,0.001035904,0
0.66,0.0004273378,0.0003311514,-0.0005409047,-0.0007960505,-8.535385e-05,4.061497e-05,0.001137892,0
0.67,0.0002725974,0.000324337,-0.000807371,-0.001180611,-8.535385e-05,4.537019e-05,0.001270483,0
0.68,0.0001978301,0.0002613624,-0.001340296,-0.001837678,-8.535385e-05,5.135602e-05,0.001437261,0
0.69,0.0001685207,0.0001863512,-0.001873218,-0.002508726,-8.535385e-05,5.883446e-05,0.001636522,0
0.7,0.0002501118,0.0001187192,-0.0005409047,-0.00308637,-8.535385e-05,6.798981e-05,0.00185791,0
0.71,0.0002531449,9.485969e-05,0.0007914044,-0.003376539,-8.535385e-05,7.873588e-05,0.00206127,0
0.72,0.0002882823,7.507988e-05,0.0007914044,-0.003582144,-8.535385e-05,9.061056e-05,0.002210595,0
0.73,0.0002766718,6.972643e-05,0.001057871,-0.003640774,-8.535385e-05,0.000102867,0.002279307,0
0.74,0.000318895,5.896813e-05,0.001590792,-0.003675232,-8.535385e-05,0.0001147518,0.00228218,0
0.75,0.0003469376,6.352873e-05,0.0002584793,-0.003596938,-8.535385e-05,0.0001257062,0.002234405,0
0.76,0.0004223562,7.443655e-05,0.001057871,-0.003481875,-8.535385e-05,0.0001353999,0.002159593,0
0.77,0.0003484901,0.0001064568,-0.001606755,-0.00327279,-8.535385e-05,0.0001436883,0.002067794,0
0.78,0.0003466112,0.0001019552,-0.001073834,-0.003271634,-8.535385e-05,0.0001505585,0.001973412,0
0.79,0.0003961114,9.670987e-05,-0.001606755,-0.00328048,-8.535385e-05,0.0001561082,0.001884261,0
0.8,0.0004145995,0.000108808,-0.00213968,-0.003232809,-8.535385e-05,0.0001606076,0.001827213,0
0.81,0.0004693727,0.0001223566,-7.979572e-06,-0.003211878,-8.535385e-05,0.0001644076,0.00179603,0
0.82,0.0005496427,0.0001493255,0.0002584793,-0.003149357,-8.535385e-05,0.0001677395,0.001777603,0
0.83,0.0005137092,0.0001943659,0.001857255,-0.003033406,-8.535385e-05,0.0001707607,0.001772282,0
0.84,0.0004889492,0.0002117169,0.002923105,-0.003092806,-8.535385e-05,0.0001736066,0.001777412,0
0.85,0.0005461309,0.0002131567,0.002123717,-0.003246051,-8.535385e-05,0.0001763968,0.001793831,0
