t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
0,0,0,0,0,0,0,0,0
0.01,2.743517e-05,0,0.001280349,0,0.001853943,0,0,0
0.02,0.000111115,0.0004688721,0.0004809648,0.00583649,0.001853943,9.306793e-05,-0.00286842,0
0.03,8.965404e-05,0.0008361814,0.0007474236,0.009918442,0.001853943,0.0001559469,-0.004970271,0
0.04,6.403725e-05,0.001089877,-0.0005848892,0.012214,0.001853943,0.000199089,-0.006114098,0
0.05,-4.432705e-05,0.001256223,-5.196035e-05,0.01326787,-0.003008366,0.0002316646,-0.00660364,0
0.06,-4.721566e-05,0.0001233552,-0.0003184266,-0.001819558,0.001853943,1.547283e-05,0.0008373316,0
0.07,-7.704325e-05,0.0004972014,0.0002145022,0.002774191,0.001853943,0.0001213328,-0.001018235,0
0.08,-4.697763e-05,0.0007527877,0.0004809648,0.006563083,0.001853943,0.000200388,-0.003258632,0
0.09,-1.729227e-05,0.000944821,-0.0003184266,0.008914826,0.001853943,0.0002571077,-0.004591508,0
0.1,-7.77075e-05,0.001087723,-0.0003184266,0.01030013,-0.007871151,0.0003001145,-0.00535755,0
0.11,-8.993007e-05,-0.001248001,-0.001384273,-0.01952384,0.001853943,-0.0001532231,0.009314746,0
0.12,-2.141606e-05,-0.0005385617,-0.0005848892,-0.009628642,0.001853943,3.558907e-05,0.005183038,0
0.13,-1.635579e-05,4.690752e-06,-0.001917202,-0.0009757793,0.001853943,0.000167702,0.0002414384,0
0.14,-5.501597e-05,0.000407722,-0.0005848892,0.004682923,0.001853943,0.0002520362,-0.002886313,0
0.15,-3.36884e-05,0.0006883295,0.0004809648,0.00818999,0.001853943,0.0003064211,-0.00480222,0
0.16,-2.397823e-05,0.0008971035,0.001013886,0.01029949,0.001853943,0.0003427635,-0.005887489,0
0.17,-6.556527e-05,0.001046623,0.0007474236,0.01143385,0.001853943,0.0003689229,-0.0064333,0
0.18,-0.0001034515,0.001133262,0.001813278,0.01181335,0.001853943,0.0003899679,-0.006618514,0
0.19,-0.0001297175,0.001174417,0.002079736,0.01170768,0.001853943,0.0004091218,-0.006575205,0
0.2,-0.0001736808,0.001186004,0.001013886,0.01133607,0.001853943,0.0004282015,-0.006415221,0
0.21,-0.0002480125,0.001169869,-0.0005848892,0.01079619,0.001853943,0.0004480075,-0.006209994,0
0.22,-0.0002528301,0.001123501,-0.0003184266,0.01013383,0.001853943,0.0004687367,-0.006000461,0
0.23,-0.0002811191,0.001080097,-0.001917202,0.009556301,0.001853943,0.0004902104,-0.005818742,0
0.24,-0.0003280356,0.001031325,-0.0005848892,0.009040681,0.001853943,0.0005119508,-0.005694505,0
0.25,-0.000352086,0.0009731286,-5.196035e-05,0.008556865,0.001853943,0.0005334356,-0.005614473,0
0.26,-0.0003003127,0.0009170581,0.0002145022,0.008163745,0.001853943,0.0005542372,-0.005578498,0
0.27,-0.0002607037,0.0008896264,-5.196035e-05,0.007985137,0.001853943,0.0005739301,-0.005591072,0
0.28,-0.0003763642,0.0008790427,0.001546815,0.007929601,0.001853943,0.0005921415,-0.005642811,0
0.29,-0.0004153887,0.0008273022,0.0007474236,0.007676,0.001853943,0.0006087624,-0.005696026,0
0.3,-0.0003436551,0.0007735009,0.002079736,0.00743311,-0.003008366,0.0006239599,-0.005733711,0
0.31,-0.0002712103,-0.0004476394,0.001546815,-0.007757419,0.001853943,0.0003936133,0.001715171,0
0.32,-0.0003023426,-0.0001018048,-0.0005848892,-0.002697474,0.001853943,0.0004848128,-0.0004023216,0
0.33,-0.0003401592,0.0001436046,-0.001384273,0.001703971,0.001853943,0.0005470462,-0.002979417,0
0.34,-0.0003338546,0.0003157746,-0.001117811,0.004605475,0.001853943,0.0005845642,-0.004646465,0
0.35,-0.0002821274,0.000447722,-0.0005848892,0.006563042,0.001853943,0.0006062452,-0.005726575,0
