t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
0,-2.628776e-05,0,-0.0006341934,0,0.0008733273,0,0.08733273,0
0.01,4.510226e-05,-0.002355307,0.0001651943,-0.4263016,0.0008733273,0.003279076,0,0.5149289
0.02,8.099599e-05,-0.005539283,-0.001700044,-0.6539662,0.0008733273,0.008638147,0,0.8730524
0.03,0.003854304,-0.00669637,-0.05259438,-0.6889104,0.0008733273,0.01331388,0,1.116967
0.04,0.01101939,-0.002468382,-0.2950752,-0.5351135,0.0008733273,0.01673548,0,1.278553
0.05,0.01621197,0.006804204,-0.6902391,-0.2637668,0.01059818,0.01911945,0.9724855,1.385678
0.06,0.01584397,0.01401568,-1.138163,-0.09279063,0.02518511,0.0273894,1.458693,1.451926
0.07,0.01064682,0.01489632,-1.498953,-0.07642892,0.04463482,0.04057248,1.944971,1.481387
0.08,0.001081435,0.009393816,-1.804052,-0.1814602,0.07380891,0.05820942,2.917409,1.47162
0.09,-0.01295086,-0.0023874,-2.040937,-0.4017118,0.09325838,0.08332998,1.944947,1.414579
0.1,-0.03064619,-0.01763576,-2.216003,-0.5838481,0.1175702,0.1039849,2.431178,1.326261
0.11,-0.05249666,-0.03740358,-2.282352,-0.8064694,0.1418819,0.1261448,2.431178,1.214551
0.12,-0.08517303,-0.06155082,-2.037207,-1.05273,0.1661937,0.1485833,2.431178,1.084245
0.13,-0.1182258,-0.09656695,-1.395032,-1.440088,0.1759186,0.1711834,0.9724855,0.9486623
0.14,-0.1418382,-0.1317566,-0.4133846,-1.672882,0.1856434,0.1837621,0.9724855,0.814307
0.15,-0.1511285,-0.1575613,0.2735557,-1.659793,0.1856434,0.1927452,0,0.6790673
0.16,-0.142773,-0.166007,0.4891239,-1.284414,0.1856434,0.193936,0,0.5529835
0.17,-0.1309432,-0.1542899,0.3974607,-0.6179369,0.1953681,0.1926559,0.9724617,0.4411415
0.18,-0.1251975,-0.1373636,0.3708145,-0.06181572,0.2002304,0.1977218,0.4862309,0.3508388
0.19,-0.1229396,-0.1258567,0.4654087,0.2647321,0.2050929,0.2022205,0.4862547,0.2896536
0.2,-0.1210794,-0.1202077,0.7028267,0.4040422,0.2099552,0.2067134,0.4862309,0.2472262
0.21,-0.1138218,-0.1169282,0.9706216,0.4654461,0.2050929,0.21117,-0.4862309,0.2111586
0.22,-0.09963908,-0.1079968,1.065216,0.6582344,0.2099552,0.2089552,0.4862309,0.1820748
0.23,-0.08615358,-0.09299354,1.070279,0.8832076,0.2099552,0.2110189,0,0.1509759
0.24,-0.07552876,-0.07702379,1.087066,1.079688,0.2099552,0.2114808,0,0.1287296
0.25,-0.06480377,-0.06431148,1.194184,1.165668,0.2099552,0.2116319,0,0.1192783
0.26,-0.05219003,-0.05270629,1.294107,1.205846,0.2099552,0.2116714,0,0.1149501
0.27,-0.03796916,-0.03975231,1.334609,1.256414,0.2099552,0.2116116,0,0.1105644
0.28,-0.02404212,-0.02511157,1.324484,1.320363,0.2099552,0.2115099,0,0.1059135
0.29,-0.01127791,-0.0105916,1.330079,1.359827,0.2099552,0.2114626,0,0.1036319
0.3,0.001436563,0.002557856,1.343669,1.356941,0.2099552,0.2114901,0,0.1042936
0.31,0.0139067,0.01521832,1.358324,1.338368,0.2099552,0.2115201,0,0.1052856
0.32,0.02645867,0.02747359,1.342603,1.309094,0.2099552,0.2115451,0,0.1061982
0.33,0.04000958,0.03969175,1.333543,1.278307,0.2099552,0.2115505,0,0.1064419
0.34,0.05203668,0.05286394,1.299969,1.264717,0.2099552,0.211507,0,0.1049176
0.35,0.06347682,0.06473579,1.254138,1.22135,0.2099552,0.2115205,0,0.1053366
0.36,0.07485039,0.0757188,1.210971,1.16322,0.2099552,0.2115438,0,0.1061671
0.37,0.08545141,0.08647122,1.169669,1.106229,0.2099552,0.2115446,0,0.1062353
0.38,0.09565154,0.09647305,1.118775,1.040201,0.2099552,0.2115508,0,0.1064749
0.39,0.1048716,0.105978,1.043632,0.9721562,0.2099552,0.2115478,0,0.1063865
0.4,0.1137858,0.1144948,0.9802142,0.8933948,0.2099552,0.2115562,0,0.1066884
0.41,0.1214008,0.1225864,0.8882846,0.8172961,0.2099552,0.2115474,0,0.1063893
0.42,0.1284643,0.1294259,0.7995526,0.7277878,0.2099552,0.2115589,0,0.1067914
0.43,0.1346038,0.1355695,0.7198803,0.6389152,0.2099552,0.2115581,0,0.1067799
0.44,0.1398299,0.1408013,0.633813,0.5467171,0.2099552,0.2115579,0,0.1067777
0.45,0.1438848,0.1450892,0.5394853,0.4517555,0.2099552,0.211558,0,0.1067836
0.46,0.1467567,0.1481871,0.4267716,0.3504643,0.2099552,0.2115664,0,0.1070834
0.47,0.1489544,0.1500438,0.3215189,0.2438848,0.2099552,0.2115797,0,0.1075738
0.48,0.1500273,0.1511636,0.2186644,0.1433033,0.2099552,0.2115761,0,0.1074745
0.49,0.1501864,0.1512279,0.1115465,0.04174097,0.2099552,0.2115757,0,0.1074673
0.5,0.149445,0.1503687,0.01881757,-0.05749598,0.2050929,0.2115722,-0.4862309,0.1073423
0.51,0.147618,0.1492446,-0.07950709,-0.1216446,0.2148175,0.2083469,0.9724617,0.1132574
0.52,0.1448435,0.1451462,-0.1807628,-0.287055,0.2099552,0.2138091,-0.4862309,0.1094012
0.53,0.1409105,0.1420427,-0.296674,-0.3476705,0.2099552,0.21229,0,0.1054461
0.54,0.1360426,0.1373238,-0.4008608,-0.4349514,0.2099552,0.2117909,0,0.1052818
0.55,0.1305371,0.1315337,-0.4949221,-0.5257537,0.2099552,0.2116322,0,0.1058745
0.56,0.1242314,0.1251101,-0.5785913,-0.6083968,0.2099552,0.2115754,0,0.1060986
0.57,0.1170374,0.1179874,-0.665991,-0.6848267,0.2099552,0.2115546,0,0.1061669
0.58,0.1091263,0.1100502,-0.747795,-0.7578533,0.2099552,0.211551,0,0.1063274
0.59,0.1004507,0.1014325,-0.8280002,-0.825043,0.2099552,0.2115503,0,0.1064117
0.6,0.09111009,0.09211322,-0.9127353,-0.8875453,0.2099552,0.2115528,0,0.1065458
0.61,0.08116975,0.08217754,-0.9798838,-0.9442452,0.2099552,0.2115555,0,0.106665
0.62,0.0706163,0.07170164,-1.03664,-0.9944956,0.2099552,0.2115576,0,0.1067525
0.63,0.05965789,0.06068053,-1.087801,-1.039353,0.2148175,0.2115617,0.4862309,0.1069108
0.64,0.04846068,0.04869616,-1.139495,-1.10775,0.2099552,0.2147811,-0.4862309,0.1007895
0.65,0.03684491,0.03787164,-1.179997,-1.09637,0.2099552,0.2125311,0,0.0982497
0.66,0.02500778,0.02611548,-1.212239,-1.112458,0.2099552,0.2118046,0,0.09980071
0.67,0.01302179,0.01405939,-1.239418,-1.128429,0.2099552,0.2115839,0,0.1017591
0.68,0.0009800639,0.001921735,-1.258603,-1.136968,0.2099552,0.2115262,0,0.1032868
0.69,-0.01111623,-0.01017619,-1.265798,-1.136327,0.2099552,0.2115169,0,0.1043071
0.7,-0.02317792,-0.02222865,-1.26713,-1.128028,0.2099552,0.2115225,0,0.1050371
0.71,-0.03504063,-0.03416811,-1.257005,-1.112291,0.2099552,0.2115309,0,0.1055599
0.72,-0.04663115,-0.04583663,-1.241284,-1.087679,0.2099552,0.2115354,0,0.1058239
0.73,-0.05783824,-0.05714593,-1.218101,-1.054488,0.2050929,0.2115363,-0.4862309,0.1059073
0.74,-0.06868769,-0.06737772,-1.185859,-0.9807765,0.2099552,0.2083148,0.4862309,0.111985
0.75,-0.07920407,-0.07848253,-1.14962,-0.9700829,0.2099552,0.2105577,0,0.1142812
0.76,-0.08918306,-0.08856586,-1.105388,-0.9223618,0.2099552,0.2112871,0,0.1128224
0.77,-0.09861296,-0.09794198,-1.055293,-0.8609997,0.2148175,0.2115086,0.4862309,0.1108968
0.78,-0.1073903,-0.1073108,-0.9905423,-0.8256519,0.2099552,0.2147851,-0.4862309,0.1032212
0.79,-0.1153356,-0.1146752,-0.9244596,-0.7162602,0.2099552,0.2125475,0,0.09976935
0.8,-0.122604,-0.1217963,-0.8559788,-0.6333336,0.2099552,0.2118098,0,0.1003947
0.81,-0.1291305,-0.1283088,-0.7824351,-0.5552952,0.2099552,0.21158,0,0.1017935
0.82,-0.134911,-0.1340639,-0.6974336,-0.4755819,0.2099552,0.2115175,0,0.1030412
0.83,-0.1398945,-0.1390358,-0.6134979,-0.3935091,0.2099552,0.2115087,0,0.1040222
0.84,-0.143855,-0.1431829,-0.527164,-0.3089308,0.2099552,0.2115146,0,0.1047409
0.85,-0.1468308,-0.1462877,-0.4272406,-0.2186734,0.2099552,0.2115159,0,0.1050068
0.86,-0.1488505,-0.1483542,-0.3342452,-0.1246181,0.2099552,0.2115141,0,0.1050299
0.87,-0.1500758,-0.1494283,-0.2404504,-0.02902189,0.2099552,0.211512,0,0.1049887
0.88,-0.150401,-0.1496908,-0.1453233,0.06384455,0.2099552,0.2115164,0,0.1051536
0.89,-0.1497919,-0.1490841,-0.04007065,0.1552218,0.2099552,0.2115214,0,0.1053455
0.9,-0.1481469,-0.1475623,0.05532293,0.245792,0.2099552,0.2115246,0,0.1054729
0.91,-0.1456156,-0.1450189,0.1499171,0.337175,0.2099552,0.2115223,0,0.1054037
